Unnamed: 0,NYG,ARI
First Downs,18,27
Rush-Yds-TDs,27-87-1,15-23-2
Cmp-Att-Yd-TD-INT,26-33-240-3-0,32-52-351-1-1
Sacked-Yards,1-6,1-3
Net Pass Yards,234,348
Total Yards,321,371
Fumbles-Lost,0-0,2-1
Turnovers,0,2
Penalties-Yards,9-76,3-29
Third Down Conv.,7-15,8-14
Fourth Down Conv.,1-1,0-0
Time of Possession,30:37,29:23
