Unnamed: 0,MIN,BUF
First Downs,24,29
Rush-Yds-TDs,25-147-2,27-175-2
Cmp-Att-Yd-TD-INT,30-50-357-1-2,29-43-330-1-2
Sacked-Yards,4-23,2-19
Net Pass Yards,334,311
Total Yards,481,486
Fumbles-Lost,2-0,2-2
Turnovers,2,4
Penalties-Yards,7-64,7-64
Third Down Conv.,7-17,7-13
Fourth Down Conv.,3-5,0-1
Time of Possession,35:02,33:46
