Quarter,Time,Down,ToGo,Location,MIN,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Greg Joseph kicks off 61 yards, returned by Duke Johnson for 20 yards (tackle by C.J. Ham)",0.000,0.540
1,14:54,1,10,BUF 24,0,0,Josh Allen pass complete short left to Stefon Diggs for -4 yards (tackle by Jonathan Bullard),0.540,-0.540
1,14:07,2,14,BUF 20,0,0,Josh Allen pass complete short right to Khalil Shakir for 6 yards (tackle by Chandon Sullivan),-0.540,-0.430
1,13:23,,,,,,Timeout #1 by Buffalo Bills,,
1,13:23,3,8,BUF 26,0,0,Josh Allen pass incomplete short left intended for Gabriel Davis (defended by Chandon Sullivan),-0.430,-1.630
1,13:18,4,8,BUF 26,0,0,"Sam Martin punts 58 yards, returned by Jalen Reagor for 10 yards (tackle by Jake Kumerow)",-1.630,-0.670
1,13:07,1,10,MIN 26,0,0,Kirk Cousins pass incomplete short left intended for K.J. Osborn (defended by A.J. Epenesa),0.670,0.130
1,13:03,,,,,,Timeout #1 by Minnesota Vikings,,
1,13:03,2,10,MIN 26,0,0,Dalvin Cook left tackle for -1 yards (tackle by Damar Hamlin),0.130,-0.690
1,12:22,3,11,MIN 25,0,0,Kirk Cousins pass complete deep right to Justin Jefferson for 46 yards (tackle by Dane Jackson),-0.690,3.640
1,11:36,1,10,BUF 29,0,0,Dalvin Cook left tackle for 1 yard (tackle by A.J. Epenesa),3.640,3.240
1,11:03,2,9,BUF 28,0,0,Kirk Cousins pass complete short right to T.J. Hockenson for 6 yards (tackle by Taron Johnson and Christian Benford),3.240,3.340
1,10:19,3,3,BUF 22,6,0,"Kirk Cousins pass complete deep right to Justin Jefferson for 22 yards, touchdown",3.340,7.000
1,10:13,,,BUF 15,7,0,Greg Joseph kicks extra point good,0.000,0.000
1,10:13,,,MIN 35,7,0,"Greg Joseph kicks off 55 yards, returned by Duke Johnson for 43 yards (tackle by Andrew Booth)",0.000,2.460
1,10:05,1,10,MIN 47,7,0,"Josh Allen pass complete short right to Stefon Diggs for 7 yards (tackle by Eric Kendricks). Penalty on Eric Kendricks: Horse Collar Tackle, 15 yards (accepted)",2.460,3.910
1,9:57,1,10,MIN 25,7,0,Devin Singletary right tackle for 21 yards (tackle by Harrison Phillips and Chandon Sullivan),3.910,6.280
1,8:56,1,4,MIN 4,7,0,Devin Singletary up the middle for -1 yards (tackle by Jonathan Bullard and Camryn Bynum),6.280,5.150
