Quarter,Time,Tm,Detail,MIN,BUF
1,10:13,Vikings,Justin Jefferson 22 yard pass from Kirk Cousins (Greg Joseph kick),7,0
,8:10,Bills,Devin Singletary 5 yard rush (Tyler Bass kick),7,7
,1:04,Bills,Devin Singletary 1 yard rush (Tyler Bass kick),7,14
2,12:53,Bills,Tyler Bass 34 yard field goal,7,17
,7:12,Vikings,Greg Joseph 27 yard field goal,10,17
,0:28,Bills,Gabriel Davis 11 yard pass from Josh Allen (Tyler Bass kick),10,24
3,1:51,Bills,Tyler Bass 45 yard field goal,10,27
,1:34,Vikings,Dalvin Cook 81 yard rush (Greg Joseph kick),17,27
4,4:34,Vikings,C.J. Ham 3 yard rush (Greg Joseph kick failed),23,27
,0:41,Vikings,Eric Kendricks fumble recovery in end zone (Greg Joseph kick),30,27
,0:02,Bills,Tyler Bass 29 yard field goal,30,30
OT,3:42,Vikings,Greg Joseph 33 yard field goal,33,30
