Unnamed: 0,NWE,OAK
First Downs,25,21
Rush-Yds-TDs,20-89-0,21-109-0
Cmp-Att-Yd-TD-INT,30-37-340-3-0,28-49-237-1-1
Sacked-Yards,1-8,1-2
Net Pass Yards,332,235
Total Yards,421,344
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,2-10,8-66
Third Down Conv.,5-10,7-15
Fourth Down Conv.,0-0,2-4
Time of Possession,27:37,32:23
