Quarter,Time,Tm,Detail,NWE,OAK
1.0,4:09,Patriots,Dion Lewis 15 yard pass from Tom Brady (Stephen Gostkowski kick),7,0
2.0,5:23,Patriots,Danny Amendola 5 yard pass from Tom Brady (Stephen Gostkowski kick),14,0
,0:00,Patriots,Stephen Gostkowski 62 yard field goal,17,0
3.0,14:06,Patriots,Brandin Cooks 64 yard pass from Tom Brady (Stephen Gostkowski kick),24,0
,7:04,Patriots,Stephen Gostkowski 51 yard field goal,27,0
,2:03,Patriots,Stephen Gostkowski 40 yard field goal,30,0
4.0,11:43,Raiders,Amari Cooper 9 yard pass from Derek Carr (Michael Crabtree pass from Derek Carr),30,8
,8:15,Patriots,Stephen Gostkowski 29 yard field goal,33,8
