Quarter,Time,Down,ToGo,Location,NWE,OAK,Detail,EPB,EPA
1,8:16,1,10,OAK 44,0,0,Dion Lewis left end for -1 yards (tackle by Karl Joseph and James Cowser),2.650,1.980
1,7:35,2,11,OAK 45,0,0,Tom Brady pass complete short right to Dwayne Allen for 5 yards (tackle by Cory James),1.980,1.950
1,6:51,3,6,OAK 40,0,0,Tom Brady pass complete short right to Danny Amendola for 12 yards (tackle by Karl Joseph),1.950,3.710
1,6:06,1,10,OAK 28,0,0,"Rex Burkhead middle for 4 yards (tackle by Treyvon Hester). Rex Burkhead fumbles (forced by Treyvon Hester), recovered by Dwayne Allen at OAK-20",3.710,4.250
1,5:39,2,2,OAK 20,0,0,Tom Brady pass complete short middle to Dion Lewis for -4 yards (tackle by Nicholas Morrow),4.250,3.010
1,5:04,3,6,OAK 24,0,0,"Tom Brady pass incomplete deep middle intended for Phillip Dorsett (defended by Dexter McDonald). Penalty on Nicholas Morrow: Defensive Holding, 5 yards (no play)",3.010,4.310
1,4:57,1,10,OAK 19,0,0,Dion Lewis right tackle for 4 yards (tackle by Karl Joseph),4.310,4.350
1,4:18,2,6,OAK 15,6,0,"Tom Brady pass complete short right to Dion Lewis for 15 yards, touchdown",4.350,7.000
1,4:09,,,OAK 15,7,0,Stephen Gostkowski kicks extra point good,0.000,0.000
1,4:09,,,NWE 35,7,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
1,4:09,1,10,OAK 25,7,0,Derek Carr pass complete short left to Cordarrelle Patterson for 6 yards (tackle by Lawrence Guy),0.610,0.870
1,3:36,2,4,OAK 31,7,0,Marshawn Lynch right tackle for 5 yards (tackle by Alan Branch),0.870,1.330
1,2:58,1,10,OAK 36,7,0,"Penalty on Seth Roberts: False Start, 5 yards (no play)",1.330,1.000
1,2:38,1,15,OAK 31,7,0,Derek Carr pass incomplete short left intended for Michael Crabtree,1.000,0.120
1,2:32,2,15,OAK 31,7,0,Derek Carr pass complete short right to Jalen Richard for 4 yards,0.120,-0.030
1,1:56,3,11,OAK 35,7,0,Derek Carr pass incomplete deep left intended for Johnny Holton is intercepted by Duron Harmon at NWE-16,-0.030,0.140
1,1:47,1,10,NWE 16,7,0,Tom Brady pass complete short middle to Dion Lewis for 12 yards (tackle by Cory James and T.J. Carrie),-0.140,0.810
1,1:07,1,10,NWE 28,7,0,Tom Brady sacked by Khalil Mack for -8 yards,0.810,-0.820
1,0:29,2,18,NWE 20,7,0,Tom Brady pass complete short left to Brandin Cooks for 13 yards (tackle by Sean Smith),-0.820,0.230
Quarter,Time,Down,ToGo,Location,NWE,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,NWE 33,7,0,"Penalty on Mario Edwards: Encroachment, 5 yards (no play)",0.230,1.470
2,15:00,1,10,NWE 38,7,0,Dion Lewis left guard for no gain (tackle by Bruce Irvin),1.470,0.920
2,14:30,2,10,NWE 38,7,0,Tom Brady pass complete short left to Martellus Bennett for 5 yards (tackle by Reggie Nelson),0.920,0.890
2,13:50,3,5,NWE 43,7,0,Tom Brady pass incomplete deep left intended for Brandin Cooks,0.890,-0.520
2,13:42,4,5,NWE 43,7,0,"Ryan Allen punts 44 yards, fair catch by Jalen Richard",-0.520,0.320
2,13:35,1,10,OAK 13,7,0,Marshawn Lynch left tackle for 7 yards (tackle by Stephon Gilmore and Trevor Reilly),-0.320,0.220
2,13:02,2,3,OAK 20,7,0,Derek Carr pass complete deep left to Jared Cook for 26 yards (tackle by Patrick Chung),0.220,1.990
2,12:16,1,10,OAK 46,7,0,Derek Carr pass complete short left to Michael Crabtree for 9 yards (tackle by Patrick Chung),1.990,2.670
2,11:38,2,1,NWE 45,7,0,DeAndre Washington left guard for 2 yards (tackle by Elandon Roberts),2.670,2.720
2,11:02,1,10,NWE 43,7,0,Marshawn Lynch right tackle for 1 yard (tackle by Deatrich Wise Jr.),2.720,2.310
2,10:19,2,9,NWE 42,7,0,Derek Carr pass incomplete short left intended for Amari Cooper,2.310,1.620
2,10:15,3,9,NWE 42,7,0,"Derek Carr pass complete short right to Amari Cooper for 8 yards (tackle by Malcolm Butler). Penalty on Amari Cooper: Offensive Pass Interference, 10 yards (no play)",1.620,0.300
2,9:44,3,19,OAK 48,7,0,Derek Carr pass complete short middle to Amari Cooper for 6 yards (tackle by Malcolm Butler),0.300,0.200
2,9:03,4,13,NWE 46,7,0,"Marquette King punts 46 yards, touchback",0.200,-0.280
2,8:55,1,10,NWE 20,7,0,Tom Brady pass complete deep middle to Brandin Cooks for 52 yards (tackle by T.J. Carrie),0.280,3.710
2,8:23,1,10,OAK 28,7,0,Tom Brady pass incomplete short right intended for Rex Burkhead,3.710,3.170
2,8:20,2,10,OAK 28,7,0,Tom Brady pass complete short right to Rob Gronkowski for 12 yards (tackle by Obi Melifonwu and Shalom Luani),3.170,4.510
2,7:53,1,10,OAK 16,7,0,Tom Brady pass incomplete short left intended for Rex Burkhead,4.510,3.900
2,7:49,2,10,OAK 16,7,0,Tom Brady pass complete short left to Brandin Cooks for -1 yards (tackle by Bruce Irvin),3.900,3.020
2,7:10,3,11,OAK 17,7,0,Tom Brady pass complete short right to Rob Gronkowski for 14 yards (tackle by Shalom Luani and Cory James),3.020,6.510
2,6:48,1,3,OAK 3,7,0,James White right tackle for -2 yards (tackle by Shalom Luani),6.510,5.150
2,6:12,2,5,OAK 5,7,0,Tom Brady pass complete short left to Danny Amendola for no gain,5.150,0.000
2,5:29,,,,,,Timeout #1 by New England Patriots,0.000,-4.260
2,5:29,3,5,OAK 5,13,0,"Tom Brady pass complete short middle to Danny Amendola for 5 yards, touchdown",4.260,7.000
2,5:23,,,OAK 15,14,0,Stephen Gostkowski kicks extra point good,0.000,0.000
2,5:23,,,NWE 35,14,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
2,5:23,1,10,OAK 25,14,0,Derek Carr pass incomplete short right intended for Michael Crabtree,0.610,0.060
2,5:16,2,10,OAK 25,14,0,Marshawn Lynch right end for 25 yards (tackle by Jonathan Jones),0.060,2.260
2,4:37,1,10,,14,0,Derek Carr pass complete short right to Jalen Richard for 5 yards (tackle by Trevor Reilly),2.260,2.390
2,3:59,2,5,NWE 45,14,0,Jalen Richard right tackle for 7 yards (tackle by Trey Flowers),2.390,3.050
2,3:15,1,10,NWE 38,14,0,Jalen Richard middle for 5 yards (tackle by David Harris),3.050,3.180
2,2:39,2,5,NWE 33,14,0,Jalen Richard right tackle for 4 yards (tackle by David Harris and Patrick Chung),3.180,3.010
2,2:11,3,1,NWE 29,14,0,Jalen Richard left guard for 3 yards (tackle by Alan Branch),3.010,3.840
2,2:00,1,10,NWE 26,14,0,Derek Carr pass incomplete deep right intended for Michael Crabtree (defended by Stephon Gilmore),3.840,3.300
2,1:53,2,10,NWE 26,14,0,Marshawn Lynch middle for 9 yards (tackle by Jonathan Jones and Lawrence Guy),3.300,3.950
2,1:29,3,1,NWE 17,14,0,Marshawn Lynch left tackle for 2 yards (tackle by Lawrence Guy and Trey Flowers),3.950,4.580
2,0:44,1,10,NWE 15,14,0,"Derek Carr pass complete short right to Seth Roberts for 8 yards (tackle by Marquis Flowers). Seth Roberts fumbles (forced by Marquis Flowers), recovered by Patrick Chung at NWE-7 (tackle by Jared Cook)",4.580,0.380
2,0:33,1,10,NWE 7,14,0,Dion Lewis middle for 20 yards (tackle by Reggie Nelson and Khalil Mack),-0.380,0.000
2,0:26,,,,,,Timeout #2 by New England Patriots,0.000,-0.740
2,0:26,1,10,NWE 27,14,0,Tom Brady pass incomplete deep right intended for Brandin Cooks,0.740,0.200
2,0:21,2,10,NWE 27,14,0,Tom Brady pass complete short left to Danny Amendola for 18 yards (tackle by Sean Smith),0.200,1.930
2,0:11,1,10,NWE 45,14,0,Tom Brady pass complete short right to Rob Gronkowski for 11 yards (tackle by Karl Joseph and NaVorro Bowman),1.930,0.000
2,0:05,,,,,,Timeout #3 by New England Patriots,0.000,0.000
2,0:05,,,,,,Timeout #1 by Oakland Raiders,0.000,-2.590
2,0:05,1,10,OAK 45,17,0,Stephen Gostkowski 62 yard field goal good,2.590,3.000
Quarter,Time,Down,ToGo,Location,NWE,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,17,0,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,NWE 25,17,0,Tom Brady pass complete short left to Dion Lewis for 5 yards (tackle by Karl Joseph),0.610,0.740
3,14:38,2,5,NWE 30,17,0,Tom Brady pass complete short middle to Danny Amendola for 6 yards (tackle by NaVorro Bowman),0.740,1.330
3,14:15,1,10,NWE 36,23,0,"Tom Brady pass complete deep right to Brandin Cooks for 64 yards, touchdown",1.330,7.000
3,14:06,,,OAK 15,24,0,Stephen Gostkowski kicks extra point good,0.000,0.000
3,14:06,,,NWE 35,24,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
3,14:06,1,10,OAK 25,24,0,Derek Carr pass complete short middle to Amari Cooper for 13 yards (tackle by Malcolm Butler),0.610,1.470
3,13:26,1,10,OAK 38,24,0,Marshawn Lynch right tackle for 5 yards (tackle by Alan Branch),1.470,1.600
3,12:51,2,5,OAK 43,24,0,Derek Carr pass complete short left to Marshawn Lynch for 10 yards (tackle by Deatrich Wise Jr.),1.600,2.460
3,12:03,1,10,NWE 47,24,0,DeAndre Washington right guard for no gain (tackle by Ricky Jean-Francois),2.460,1.910
3,11:22,2,10,NWE 47,24,0,Derek Carr pass incomplete short right intended for Jalen Richard (defended by Elandon Roberts),1.910,1.220
3,11:16,3,10,NWE 47,24,0,Derek Carr pass incomplete deep left intended for Seth Roberts,1.220,0.130
3,11:10,4,10,NWE 47,24,0,"Marquette King punts 47 yards, touchback",0.130,-0.280
3,11:01,1,10,NWE 20,24,0,Dion Lewis left end for 11 yards (tackle by Karl Joseph and Reggie Nelson),0.280,1.000
3,10:21,1,10,NWE 31,24,0,Tom Brady pass complete short left to Brandin Cooks for 16 yards (tackle by Sean Smith),1.000,2.060
3,9:39,1,10,NWE 47,24,0,Tom Brady pass complete short middle to Rex Burkhead for 6 yards (tackle by NaVorro Bowman),2.060,2.330
3,9:04,2,4,OAK 47,24,0,Dion Lewis left guard for 10 yards (tackle by Khalil Mack),2.330,3.120
3,8:20,1,10,OAK 37,24,0,Rex Burkhead middle for 3 yards (tackle by Khalil Mack),3.120,2.980
3,7:48,2,7,OAK 34,24,0,Tom Brady pass complete short middle to Rex Burkhead for 1 yard (tackle by Cory James),2.980,2.410
3,7:15,3,6,OAK 33,24,0,Tom Brady pass incomplete short left intended for Danny Amendola,2.410,1.160
3,7:09,4,6,OAK 33,27,0,Stephen Gostkowski 51 yard field goal good,1.160,3.000
3,7:04,,,NWE 35,27,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
3,7:04,1,10,OAK 25,27,0,Derek Carr pass incomplete short middle intended for Jared Cook,0.610,0.060
3,6:57,2,10,OAK 25,27,0,Marshawn Lynch right end for 1 yard (tackle by Elandon Roberts),0.060,-0.490
3,6:20,3,9,OAK 26,27,0,Derek Carr pass complete short left to Seth Roberts for 9 yards (tackle by Jonathan Jones),-0.490,1.270
3,5:42,1,10,OAK 35,27,0,Derek Carr pass complete short right to Jamize Olawale for 4 yards (tackle by Elandon Roberts),1.270,1.260
3,5:08,2,6,OAK 39,27,0,Derek Carr pass incomplete deep left intended for Michael Crabtree,1.260,0.000
3,5:00,,,,,,Timeout #1 by Oakland Raiders,0.000,-0.560
3,5:00,3,6,OAK 39,27,0,Derek Carr pass incomplete short right intended for Amari Cooper,0.560,-0.780
3,4:55,4,6,OAK 39,27,0,"Marquette King punts 32 yards, out of bounds",-0.780,-0.460
3,4:45,4,1,OAK 44,27,0,Jamize Olawale middle for no gain (tackle by Patrick Chung),-0.460,-2.650
3,4:39,1,10,OAK 44,27,0,Dion Lewis right tackle for 12 yards (tackle by T.J. Carrie),2.650,3.450
3,4:01,1,10,OAK 32,27,0,"Dion Lewis middle for no gain (tackle by James Cowser). Penalty on Denico Autry: Illegal Use of Hands, 5 yards (no play)",3.450,3.780
3,3:38,1,10,OAK 27,27,0,Dion Lewis left tackle for -1 yards (tackle by Denico Autry),3.780,3.100
3,2:58,2,11,OAK 28,27,0,Tom Brady pass complete short middle to Martellus Bennett for 6 yards (tackle by T.J. Carrie),3.100,3.200
3,2:12,3,5,OAK 22,27,0,Tom Brady pass incomplete short left intended for James White,3.200,2.040
3,2:08,4,5,OAK 22,30,0,Stephen Gostkowski 40 yard field goal good,2.040,3.000
3,2:03,,,NWE 35,30,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
3,2:03,1,10,OAK 25,30,0,Derek Carr pass complete short left to Seth Roberts for 5 yards (tackle by Jonathan Jones),0.610,0.740
3,1:34,2,5,OAK 30,30,0,Derek Carr pass complete short right to Seth Roberts for 5 yards (tackle by Jonathan Jones and David Harris),0.740,1.270
3,1:04,1,10,OAK 35,30,0,Derek Carr pass complete short right to Michael Crabtree for 11 yards (tackle by Johnson Bademosi),1.270,1.990
3,0:29,1,10,OAK 46,30,0,Derek Carr pass complete short right to Clive Walford for 4 yards (tackle by Patrick Chung),1.990,1.990
Quarter,Time,Down,ToGo,Location,NWE,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,,30,0,Derek Carr pass incomplete deep right intended for Amari Cooper (defended by Malcolm Butler),1.990,1.290
4,14:56,3,6,,30,0,Derek Carr pass incomplete short left intended for Jared Cook (defended by Trey Flowers),1.290,-0.060
4,14:51,4,6,,30,0,Derek Carr pass complete short left to Michael Crabtree for 15 yards (tackle by Duron Harmon),-0.060,3.250
4,14:11,1,10,NWE 35,30,0,"Derek Carr pass complete short right to Seth Roberts for 3 yards (tackle by Jonathan Jones). Penalty on Patrick Chung: Defensive Holding, 5 yards (no play)",3.250,3.580
4,13:40,1,10,NWE 30,30,0,"Derek Carr pass incomplete deep right intended for Johnny Holton. Penalty on Johnny Holton: Unsportsmanlike Conduct, 15 yards",3.580,1.010
4,13:33,2,25,NWE 45,30,0,Derek Carr pass complete short left to DeAndre Washington for 7 yards,1.010,1.290
4,12:58,3,18,NWE 38,30,0,Derek Carr pass complete deep right to Cordarrelle Patterson for 22 yards,1.290,4.510
,,,,,,,"OAK challenged the incomplete pass ruling, and the original play was overturned.",,
4,12:26,1,10,NWE 16,30,0,Derek Carr pass complete short middle to Michael Crabtree for 7 yards (tackle by Stephon Gilmore),4.510,5.160
4,11:55,2,3,NWE 9,30,0,Derek Carr pass incomplete short right intended for Michael Crabtree,5.160,4.390
4,11:50,3,3,NWE 9,30,6,"Derek Carr pass complete short right to Amari Cooper for 9 yards, touchdown",4.390,7.000
4,11:43,,,NWE 2,30,8,"Two Point Attempt: Derek Carr pass complete to Michael Crabtree, conversion succeeds",0.000,1.000
4,11:43,,,OAK 35,30,8,"Giorgio Tavecchio kicks off 47 yards, returned by Devin McCourty for 12 yards (tackle by Xavier Woodson-Luster)",0.000,-0.940
4,11:38,1,10,NWE 30,30,8,Tom Brady pass complete short middle to Danny Amendola for 6 yards (tackle by Cory James),0.940,0.000
4,10:53,,,,,,Timeout #1 by New England Patriots,0.000,-1.200
4,10:53,2,4,NWE 36,30,8,Tom Brady pass complete short middle to Dwayne Allen for 19 yards (tackle by Reggie Nelson),1.200,2.590
4,10:29,1,10,OAK 45,30,8,Dion Lewis right tackle for 3 yards (tackle by Cory James),2.590,2.450
4,9:57,2,7,OAK 42,30,8,"Tom Brady pass complete short right to Danny Amendola for 9 yards (tackle by Reggie Nelson). Penalty on Khalil Mack: Roughing the Passer, 15 yards",2.450,4.370
4,9:38,1,10,OAK 18,30,8,James White middle for 6 yards (tackle by Nicholas Morrow),4.370,4.810
4,9:06,2,4,OAK 12,30,8,James White left tackle for 1 yard (tackle by Nicholas Morrow),4.810,4.260
4,8:23,3,3,OAK 11,30,8,Tom Brady pass incomplete short left intended for Brandin Cooks (defended by Sean Smith),4.260,2.800
4,8:19,4,3,OAK 11,33,8,Stephen Gostkowski 29 yard field goal good,2.800,3.000
4,8:15,,,NWE 35,33,8,"Stephen Gostkowski kicks off 56 yards, returned by DeAndre Washington for 16 yards (tackle by Jacob Hollister)",0.000,-0.610
4,8:09,1,10,OAK 25,33,8,Derek Carr pass incomplete short right intended for Jared Cook,0.610,0.060
4,8:03,2,10,OAK 25,33,8,Derek Carr pass complete short left to Cordarrelle Patterson for 10 yards (tackle by Patrick Chung),0.060,1.270
4,7:29,1,10,OAK 35,33,8,Derek Carr pass complete short right to Seth Roberts for 9 yards (tackle by Marquis Flowers),1.270,1.940
4,6:53,2,1,OAK 44,33,8,Derek Carr pass complete short left to Cordarrelle Patterson for 7 yards (tackle by Stephon Gilmore),1.940,2.320
4,6:21,1,10,NWE 49,33,8,Derek Carr sacked by Trey Flowers and Kyle Van Noy for -2 yards,2.320,0.000
4,5:35,,,,,,Timeout #2 by Oakland Raiders,0.000,-1.510
4,5:35,2,12,OAK 49,33,8,Jamize Olawale middle for 11 yards,1.510,2.280
4,5:00,3,1,NWE 40,33,8,Derek Carr pass complete short left to Jamize Olawale for 2 yards (tackle by Marquis Flowers),2.280,3.050
4,4:26,1,10,NWE 38,33,8,Derek Carr pass incomplete deep left intended for Amari Cooper,3.050,2.510
4,4:19,2,10,NWE 38,33,8,Derek Carr pass incomplete short right intended for Seth Roberts (defended by Jonathan Jones),2.510,1.820
4,4:13,3,10,NWE 38,33,8,Derek Carr pass incomplete short left intended for DeAndre Washington,1.820,0.000
4,4:09,,,,,,Timeout #3 by Oakland Raiders,0.000,-0.720
4,4:09,4,10,NWE 38,33,8,Derek Carr pass complete short left to Jared Cook for 10 yards (tackle by Patrick Chung),0.720,3.710
,,,,,,,"NWE challenged the first down ruling, and the play was upheld.",,
4,4:03,1,10,NWE 28,33,8,Derek Carr pass complete short right to Michael Crabtree for 8 yards (tackle by Stephon Gilmore),3.710,4.250
4,3:22,2,2,NWE 20,33,8,"Penalty on Amari Cooper: False Start, 6 yards (no play)",4.250,3.440
4,3:20,2,8,NWE 26,33,8,Derek Carr pass complete short middle to DeAndre Washington for 5 yards (tackle by Marquis Flowers),3.440,3.400
4,2:44,3,3,NWE 21,33,8,Derek Carr pass incomplete deep right intended for Clive Walford,3.400,2.160
4,2:39,4,3,NWE 21,33,8,Derek Carr pass incomplete deep left intended for Seth Roberts,2.160,-0.340
4,2:34,1,10,NWE 21,33,8,Rex Burkhead middle for 4 yards (tackle by Justin Ellis),0.340,0.340
4,2:00,2,6,NWE 25,33,8,Rex Burkhead right end for 1 yard (tackle by James Cowser),0.340,-0.230
4,1:14,3,5,NWE 26,33,8,Rex Burkhead right tackle for 4 yards (tackle by James Cowser),-0.230,0.000
4,0:26,,,,,,Timeout #3 by New England Patriots,0.000,1.370
4,0:26,4,1,NWE 30,33,8,"Ryan Allen punts 51 yards, out of bounds",-1.370,-0.150
4,0:16,1,10,OAK 19,33,8,Jamize Olawale left tackle for 5 yards (tackle by Jordan Richards),0.150,0.340
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
