Quarter,Time,Tm,Detail,MIN,DET
1.0,14:48,Vikings,Percy Harvin 105 yard kickoff return (Blair Walsh kick),7,0
,13:06,Lions,Jason Hanson 40 yard field goal,7,3
,1:16,Vikings,Blair Walsh 49 yard field goal,10,3
2.0,8:14,Vikings,Blair Walsh 27 yard field goal,13,3
,1:46,Lions,Jason Hanson 31 yard field goal,13,6
3.0,13:09,Vikings,Marcus Sherels 77 yard punt return (Blair Walsh kick),20,6
4.0,2:56,Lions,Matthew Stafford 1 yard rush (Jason Hanson kick),20,13
