Unnamed: 0,MIN,DET
First Downs,15,23
Rush-Yds-TDs,28-127-0,20-55-1
Cmp-Att-Yd-TD-INT,16-26-111-0-0,30-51-319-0-0
Sacked-Yards,2-11,5-33
Net Pass Yards,100,286
Total Yards,227,341
Fumbles-Lost,0-0,1-1
Turnovers,0,1
Penalties-Yards,5-87,5-72
Third Down Conv.,3-12,6-16
Fourth Down Conv.,0-0,1-3
Time of Possession,29:18,30:42
