Unnamed: 0,GNB,WAS
First Downs,19,21
Rush-Yds-TDs,19-84-0,30-151-3
Cmp-Att-Yd-TD-INT,27-44-360-3-1,21-30-375-3-0
Sacked-Yards,2-20,2-11
Net Pass Yards,340,364
Total Yards,424,515
Fumbles-Lost,3-1,0-0
Turnovers,2,0
Penalties-Yards,6-59,6-40
Third Down Conv.,7-15,9-14
Fourth Down Conv.,1-2,1-1
Time of Possession,30:23,29:37
