Quarter,Time,Tm,Detail,ATL,GNB
1.0,0:00,Packers,Eddie Lacy 1 yard rush (Mason Crosby kick),0,7
2.0,11:01,Falcons,Drew Davis 36 yard pass from Matt Ryan (Matt Bryant kick),7,7
,8:43,Falcons,Tony Gonzalez 2 yard pass from Matt Ryan (Matt Bryant kick),14,7
,3:39,Packers,Mason Crosby 40 yard field goal,14,10
,0:23,Falcons,Sean Weatherspoon 71 yard interception return (Matt Bryant kick),21,10
3.0,9:06,Packers,Mason Crosby 33 yard field goal,21,13
,0:45,Packers,Mason Crosby 25 yard field goal,21,16
4.0,12:01,Packers,Andrew Quarless 2 yard pass from Matt Flynn (pass failed),21,22
