Unnamed: 0,ATL,GNB
First Downs,18,20
Rush-Yds-TDs,23-83-0,33-112-1
Cmp-Att-Yd-TD-INT,20-35-206-2-1,24-32-258-1-1
Sacked-Yards,1-4,5-36
Net Pass Yards,202,222
Total Yards,285,334
Fumbles-Lost,1-1,1-1
Turnovers,2,2
Penalties-Yards,3-15,2-10
Third Down Conv.,6-13,7-15
Fourth Down Conv.,0-1,0-0
Time of Possession,26:28,33:32
