Quarter,Time,Tm,Detail,ATL,NYG
1,7:02,Falcons,Alge Crumpler 6 yard pass from Michael Vick (Jay Feely kick),7,0
2,9:09,Falcons,Alge Crumpler 2 yard pass from Michael Vick (Jay Feely kick),14,0
3,4:37,Giants,Jeremy Shockey 6 yard pass from Eli Manning (Steve Christie kick),14,7
4,6:28,Giants,Steve Christie 24 yard field goal,14,10
