Unnamed: 0,ATL,NYG
First Downs,16,20
Rush-Yds-TDs,34-201-0,26-119-0
Cmp-Att-Yd-TD-INT,12-20-115-2-0,17-37-162-1-2
Sacked-Yards,2-18,1-4
Net Pass Yards,97,158
Total Yards,298,277
Fumbles-Lost,2-0,1-0
Turnovers,0,2
Penalties-Yards,12-94,6-50
Third Down Conv.,6-13,6-13
Fourth Down Conv.,0-0,0-1
Time of Possession,31:43,28:17
