Quarter,Time,Down,ToGo,Location,ATL,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,ATL 30,0,0,"Jay Feely kicks off 62 yards, returned by Willie Ponder for 19 yards (tackle by Eric Johnson)",0.000,0.740
1,14:55,1,10,NYG 27,0,0,Tiki Barber left end for 23 yards (tackle by Bryan Scott),0.740,2.260
1,14:24,1,10,NYG 50,0,0,Tiki Barber right tackle for no gain (tackle by Brady Smith and Keith Brooking),2.260,1.710
1,13:56,2,10,NYG 50,0,0,Eli Manning pass incomplete intended for Marcellus Rivers,1.710,1.030
1,13:41,3,10,NYG 50,0,0,Eli Manning sacked by Patrick Kerney and Ed Jasper for -4 yards,1.030,-0.320
1,13:11,4,14,NYG 46,0,0,Jeff Feagles punts 38 yards,-0.320,0.140
1,12:59,1,10,ATL 16,0,0,Michael Vick left end for 7 yards (tackle by Carlos Emmons),-0.140,0.420
1,12:40,2,3,ATL 23,0,0,Warrick Dunn right guard for 2 yards (tackle by Lance LeGree and Nick Greisen),0.420,-0.200
1,11:55,3,1,ATL 25,0,0,Michael Vick pass complete to Dez White for 11 yards (tackle by Curtis DeLoatch),-0.200,1.330
1,11:16,1,10,ATL 36,0,0,Michael Vick right end for 20 yards (tackle by Terry Cousin),1.330,2.650
1,10:43,1,10,NYG 44,0,0,Michael Vick up the middle for 24 yards (tackle by Carlos Emmons),2.650,4.240
1,10:02,1,10,NYG 20,0,0,Warrick Dunn left guard for 2 yards (tackle by Kevin Lewis and Nick Greisen),4.240,3.960
1,9:22,2,8,NYG 18,0,0,Michael Vick pass complete to Warrick Dunn for 7 yards (tackle by Nick Greisen),3.960,4.590
1,8:39,3,1,NYG 11,0,0,Michael Vick up the middle for 2 yards (tackle by Lance LeGree),4.590,5.140
1,7:55,1,9,NYG 9,0,0,Michael Vick pass incomplete,5.140,4.380
1,7:45,2,9,NYG 9,0,0,Warrick Dunn right tackle for 3 yards (tackle by Kevin Lewis and Nick Greisen),4.380,4.040
1,7:06,3,6,NYG 6,6,0,"Michael Vick pass complete to Alge Crumpler for 6 yards, touchdown",4.040,7.000
1,,,,NYG 2,7,0,Jay Feely kicks extra point good,0.000,0.000
1,,,,ATL 30,7,0,"Jay Feely kicks off 67 yards, returned by Willie Ponder for 17 yards (tackle by Michael Jenkins)",0.000,0.280
1,6:56,1,10,NYG 20,7,0,Eli Manning pass complete to Ike Hilliard for 8 yards (tackle by Jason Webster),0.280,0.810
,,,,,,,"NYG challenged the ruling, and the original play was overturned.",,
1,6:40,2,2,NYG 28,7,0,Tiki Barber right guard for 6 yards (tackle by Bryan Scott),0.810,1.200
1,5:56,1,10,NYG 34,7,0,Eli Manning pass incomplete intended for Jeremy Shockey (defended by Chris Draft),1.200,0.660
1,5:45,2,10,NYG 34,7,0,Tiki Barber left end for 4 yards (tackle by Matt Stewart and Chris Draft),0.660,0.500
1,5:07,3,6,NYG 38,7,0,Eli Manning pass incomplete intended for Tiki Barber,0.500,-0.850
1,5:00,4,6,NYG 38,7,0,"Jeff Feagles punts 53 yards, returned by Allen Rossum for 8 yards (tackle by Derrick Ward)",-0.850,0.060
1,4:49,1,10,ATL 17,7,0,Warrick Dunn left end for 9 yards (tackle by Brent Alexander and Nick Greisen),-0.060,0.750
1,4:13,2,1,ATL 26,7,0,Michael Vick pass incomplete intended for Peerless Price,0.750,-0.120
1,4:05,3,1,ATL 26,7,0,Michael Vick pass complete to Dez White for no gain,-0.120,-1.630
1,3:28,4,1,ATL 26,7,0,"Chris Mohr punts 46 yards, muffed catch by Mark Jones, recovered by Mark Jones and returned for no gain",-1.630,-0.610
1,3:17,1,10,NYG 25,7,0,Eli Manning pass complete to Marcellus Rivers for 11 yards (tackle by Keith Brooking),0.610,1.330
1,2:51,1,10,NYG 36,7,0,Tiki Barber left end for 4 yards (tackle by Chris Draft and Jason Webster),1.330,1.330
1,2:18,2,6,NYG 40,7,0,Eli Manning pass incomplete intended for Amani Toomer (defended by Jason Webster),1.330,0.630
1,2:08,3,6,NYG 40,7,0,Eli Manning pass incomplete intended for Amani Toomer,0.630,-0.720
1,2:03,4,6,NYG 40,7,0,Jeff Feagles punts 37 yards (tackle by Derrick Ward),-0.720,-0.670
1,1:55,1,10,ATL 26,7,0,Dez White right end for -2 yards (tackle by Will Allen and Osi Umenyiora),0.670,-0.140
