Unnamed: 0,CIN,BAL
First Downs,20,21
Rush-Yds-TDs,28-123-0,32-162-2
Cmp-Att-Yd-TD-INT,28-41-272-2-3,16-24-183-1-0
Sacked-Yards,3-23,2-20
Net Pass Yards,249,163
Total Yards,372,325
Fumbles-Lost,1-1,2-2
Turnovers,4,2
Penalties-Yards,5-36,1-5
Third Down Conv.,7-16,4-10
Fourth Down Conv.,0-0,1-1
Time of Possession,32:35,27:25
