Quarter,Time,Down,ToGo,Location,CIN,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,CIN 30,0,0,"Neil Rackers kicks off 64 yards, returned by Lamont Brightful for 18 yards (tackle by Brandon Bennett)",0.000,0.540
1,14:56,1,10,BAL 24,0,0,Jamal Lewis middle for 7 yards (tackle by Marquand Manuel),0.540,0.940
1,14:28,2,3,BAL 31,0,0,Jamal Lewis left tackle for 1 yard (tackle by Brian Simmons and Takeo Spikes),0.940,0.370
1,13:52,3,2,BAL 32,0,0,Jeff Blake pass complete to Todd Heap for 7 yards (tackle by Marquand Manuel),0.370,1.530
1,13:27,1,10,BAL 39,0,0,Jeff Blake pass complete to Terry Jones for 14 yards (tackle by Marquand Manuel),1.530,2.460
1,12:49,1,10,CIN 47,0,0,Jeff Blake pass complete to Travis Taylor for 11 yards (tackle by Artrell Hawkins),2.460,3.180
1,12:14,1,10,CIN 36,0,0,Jeff Blake pass complete to Brandon Stokley for 33 yards (tackle by Jeff Burris),3.180,6.510
1,11:47,1,3,CIN 3,0,0,"Alan Ricard right guard for no gain (tackle by Brian Simmons). Penalty on Oliver Gibson: Face Mask (15 Yards), 2 yards",6.510,6.970
1,11:25,1,1,CIN 1,0,0,Jeff Blake pass incomplete intended for Terry Jones,6.970,5.910
1,11:19,2,1,CIN 1,0,6,"Jamal Lewis left tackle for 1 yard, touchdown",5.910,7.000
1,11:19,,,CIN 1,0,7,Matt Stover kicks extra point good,0.000,0.000
1,11:19,,,BAL 30,6,7,"J.R. Jenkins kicks off 64 yards, returned by Brandon Bennett for 94 yards, touchdown",0.000,-7.000
1,11:16,,,BAL 1,7,7,Neil Rackers kicks extra point good,0.000,0.000
1,11:16,,,CIN 30,7,7,"Neil Rackers kicks off 65 yards, returned by Lamont Brightful for 26 yards (tackle by Chris Edmonds)",0.000,1.000
1,10:58,1,10,BAL 31,7,7,Jamal Lewis left end for 1 yard (tackle by Canute Curtis and Oliver Gibson),1.000,0.600
1,10:28,2,9,BAL 32,7,7,Jeff Blake sacked by Brian Simmons for -4 yards,0.600,-0.630
1,9:58,3,13,BAL 28,7,7,Jeff Blake pass complete to Todd Heap for 10 yards (tackle by JoJuan Armour),-0.630,-0.850
1,9:22,4,3,BAL 38,7,7,"Dave Zastudil punts 39 yards, out of bounds",-0.850,-0.480
1,9:09,1,10,CIN 23,7,7,Corey Dillon right tackle for 5 yards (tackle by Ed Hartwell),0.480,0.610
1,8:39,2,5,CIN 28,7,7,Corey Dillon right guard for 5 yards (tackle by Ed Hartwell and Cornell Brown),0.610,1.140
1,8:16,1,10,CIN 33,7,7,Jon Kitna pass incomplete intended for Michael Westbrook,1.140,0.590
1,7:54,2,10,CIN 33,7,7,Jon Kitna pass complete to Corey Dillon for 4 yards (tackle by Peter Boulware),0.590,0.430
1,7:21,3,6,CIN 37,7,7,"Jon Kitna pass incomplete is intercepted by Ed Reed at BAL-46 and returned for 46 yards. Ed Reed fumbles (forced by T.J. Houshmandzadeh), recovered by Peter Warrick at CIN--5",0.430,0.280
1,6:53,1,10,CIN 20,7,7,Brandon Bennett right tackle for 2 yards (tackle by Anthony Weaver),0.280,0.000
1,6:19,2,8,CIN 22,7,7,Jon Kitna pass complete to Peter Warrick for 14 yards (tackle by Ed Hartwell),0.000,1.330
1,5:30,1,10,CIN 36,7,7,Corey Dillon right end for 5 yards (tackle by Kelly Gregg and Alvin Porter),1.330,1.470
1,5:09,2,5,CIN 41,7,7,Michael Westbrook left end for 1 yard (tackle by Riddick Parker and Will Demps),1.470,0.890
1,4:12,3,4,CIN 42,7,7,Jon Kitna pass incomplete intended for Chad Johnson (defended by Robert Tate),0.890,-0.590
1,4:02,4,4,CIN 42,7,7,"Nick Harris punts 45 yards, returned by Lamont Brightful for 1 yard (tackle by Ron Dugans)",-0.590,0.280
1,3:51,1,10,BAL 14,7,7,Jamal Lewis left tackle for 2 yards (tackle by Cory Hall and Tony Williams),-0.280,-0.510
1,3:17,2,8,BAL 16,7,7,Jeff Blake pass complete to Travis Taylor for 7 yards (tackle by Jeff Burris),-0.510,-0.320
1,2:56,3,1,BAL 23,7,7,Jamal Lewis middle for 2 yards (tackle by Bernard Whittington),-0.320,0.610
1,2:18,1,10,BAL 25,7,7,Jeff Blake pass incomplete intended for Brandon Stokley,0.610,0.060
1,2:09,2,10,BAL 25,7,7,Jeff Blake pass complete to Alan Ricard for 6 yards (tackle by Canute Curtis and Takeo Spikes),0.060,0.170
1,1:32,3,4,BAL 31,7,7,Jeff Blake pass incomplete intended for Todd Heap,0.170,-1.310
1,1:24,4,4,BAL 31,7,7,"Dave Zastudil punts 49 yards, returned by T.J. Houshmandzadeh for 2 yards (tackle by Bart Scott)",-1.310,-0.410
1,1:12,1,10,CIN 22,7,7,Jon Kitna pass complete to Peter Warrick for 5 yards (tackle by Will Demps),0.410,0.540
1,0:38,2,5,CIN 27,7,7,Corey Dillon right end for no gain (tackle by Ed Hartwell),0.540,-0.160
Quarter,Time,Down,ToGo,Location,CIN,BAL,Detail,EPB,EPA
