Unnamed: 0,OAK,TAM
First Downs,18,15
Rush-Yds-TDs,35-192-2,26-125-2
Cmp-Att-Yd-TD-INT,14-21-148-2-1,17-33-257-1-1
Sacked-Yards,1-3,1-2
Net Pass Yards,145,255
Total Yards,337,380
Fumbles-Lost,1-0,1-0
Turnovers,1,1
Penalties-Yards,4-25,6-83
Third Down Conv.,6-13,6-15
Fourth Down Conv.,0-0,1-2
Time of Possession,31:58,28:02
