Unnamed: 0,CIN,SDG
First Downs,19,20
Rush-Yds-TDs,21-114-0,20-70-0
Cmp-Att-Yd-TD-INT,27-40-314-2-1,24-38-308-3-2
Sacked-Yards,2-21,2-12
Net Pass Yards,293,296
Total Yards,407,366
Fumbles-Lost,2-0,0-0
Turnovers,1,2
Penalties-Yards,9-55,4-30
Third Down Conv.,7-15,5-11
Fourth Down Conv.,0-0,0-0
Time of Possession,31:46,28:14
