Quarter,Time,Down,ToGo,Location,CLE,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Greg Joseph kicks off 67 yards, returned by DeAndre Carter for no gain (tackle by Tavierre Thomas)",0.000,0.340
1,14:54,1,10,HOU 21,0,0,Lamar Miller right end for 6 yards (tackle by Emmanuel Ogbah),0.340,0.610
1,14:28,2,4,HOU 27,0,0,Deshaun Watson pass complete short middle to Demaryius Thomas for 15 yards (tackle by Jabrill Peppers),0.610,1.730
1,14:00,1,10,HOU 42,0,0,Lamar Miller up the middle for 6 yards (tackle by T.J. Carrie),1.730,2.000
1,13:40,2,4,HOU 48,0,0,Lamar Miller left tackle for 15 yards (tackle by Damarious Randall),2.000,3.120
1,13:15,1,10,CLE 37,0,0,Alfred Blue left tackle for 9 yards (tackle by Jamie Collins),3.120,3.790
1,12:41,2,1,CLE 28,0,0,Alfred Blue up the middle for 2 yards (tackle by Jabrill Peppers and Joe Schobert),3.790,3.840
1,12:04,1,10,CLE 26,0,0,Deshaun Watson sacked by Myles Garrett for -7 yards,3.840,2.350
1,11:23,2,17,CLE 33,0,0,Deshaun Watson pass complete short left to DeAndre Hopkins for 2 yards (tackle by Briean Boddy-Calhoun),2.350,1.950
1,10:44,3,15,CLE 31,0,0,Deshaun Watson pass complete short right to DeAndre Hopkins for 17 yards,1.950,4.650
1,10:23,1,10,CLE 14,0,0,Lamar Miller right tackle for -7 yards (tackle by Emmanuel Ogbah and Genard Avery),4.650,3.150
1,9:42,2,17,CLE 21,0,0,Deshaun Watson sacked by Emmanuel Ogbah for -3 yards,3.150,2.080
1,8:58,3,20,CLE 24,0,0,Deshaun Watson pass complete short left to Demaryius Thomas for 8 yards (tackle by T.J. Carrie),2.080,2.380
1,8:15,4,12,CLE 16,0,3,Ka'imi Fairbairn 35 yard field goal good. Penalty on Derrick Kindred: Running Into the Kicker (Declined),2.380,3.000
1,8:12,,,HOU 35,0,3,"Ka'imi Fairbairn kicks off 65 yards, returned by Jabrill Peppers for no gain (tackle by Andre Hal and Sammie Coates)",0.000,0.740
1,8:02,1,10,CLE 27,0,3,Nick Chubb right guard for 6 yards (tackle by Tyrann Mathieu and Zach Cunningham),0.740,1.010
1,7:25,2,4,CLE 33,0,3,Nick Chubb left end for -1 yards (tackle by Benardrick McKinney and Whitney Mercilus),1.010,0.170
1,6:41,3,5,CLE 32,0,3,Baker Mayfield pass incomplete short right intended for Antonio Callaway (defended by Zach Cunningham),0.170,-1.240
1,6:38,4,5,CLE 32,0,3,"Britton Colquitt punts 40 yards, returned by DeAndre Carter for no gain (tackle by Tanner Vallejo). DeAndre Carter fumbles (forced by Tanner Vallejo), recovered by Gregory Howell at CLE-11 (tackle by Phillip Gaines). Penalty on Johnson Bademosi: Offensive Holding, 10 yards",-1.240,-0.040
1,6:16,1,10,HOU 18,0,3,Lamar Miller right guard for 1 yard (tackle by Brian Price and Jamie Collins),0.040,-0.320
1,5:43,2,9,HOU 19,0,3,Deshaun Watson pass complete short left to Jordan Thomas for 15 yards (tackle by Chris Smith),-0.320,1.200
1,5:14,1,10,HOU 34,0,3,Lamar Miller right tackle for 1 yard (tackle by Brian Price),1.200,0.790
1,4:32,2,9,HOU 35,0,3,Lamar Miller up the middle for -3 yards (tackle by Denzel Ward),0.790,-0.300
1,3:58,3,12,HOU 32,0,3,Deshaun Watson pass complete short middle to Lamar Miller for 12 yards (tackle by Jamie Collins and Derrick Kindred),-0.300,1.860
1,3:17,1,10,HOU 44,0,3,Lamar Miller up the middle for 15 yards (tackle by Damarious Randall),1.860,2.850
1,2:41,1,10,CLE 41,0,3,Deshaun Watson up the middle for 3 yards (tackle by Derrick Kindred),2.850,2.710
1,1:56,2,7,CLE 38,0,3,Deshaun Watson pass complete deep left to DeAndre Hopkins for 24 yards (tackle by T.J. Carrie),2.710,4.650
1,1:17,1,10,CLE 14,0,3,Alfred Blue right tackle for 3 yards (tackle by Brian Price and Anthony Zettel),4.650,4.520
1,0:44,2,7,CLE 11,0,9,"Deshaun Watson pass complete short right to Jordan Thomas for 11 yards, touchdown",4.520,7.000
1,0:38,,,CLE 15,0,10,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,0:38,,,HOU 35,0,10,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,0:38,1,10,CLE 25,0,10,Baker Mayfield pass complete short left to Antonio Callaway for 6 yards (tackle by Justin Reid),0.610,0.870
1,0:02,2,4,CLE 31,0,10,Baker Mayfield pass complete short left to Jarvis Landry for 16 yards (tackle by Shareece Wright and Tyrann Mathieu),0.870,2.060
Quarter,Time,Down,ToGo,Location,CLE,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
