Unnamed: 0,CLE,HOU
First Downs,20,25
Rush-Yds-TDs,9-31-1,39-187-0
Cmp-Att-Yd-TD-INT,29-43-397-1-3,22-31-224-1-0
Sacked-Yards,0-0,4-27
Net Pass Yards,397,197
Total Yards,428,384
Fumbles-Lost,1-1,2-0
Turnovers,4,0
Penalties-Yards,6-45,5-77
Third Down Conv.,2-8,8-16
Fourth Down Conv.,0-2,0-0
Time of Possession,22:25,37:35
