Unnamed: 0,SEA,ATL
First Downs,18,30
Rush-Yds-TDs,33-151-1,17-69-1
Cmp-Att-Yd-TD-INT,14-20-182-2-0,39-52-460-1-1
Sacked-Yards,2-11,2-19
Net Pass Yards,171,441
Total Yards,322,510
Fumbles-Lost,0-0,2-2
Turnovers,0,3
Penalties-Yards,9-60,5-40
Third Down Conv.,3-9,3-9
Fourth Down Conv.,0-0,1-1
Time of Possession,29:13,30:47
