Quarter,Time,Tm,Detail,SEA,ATL
1.0,11:17,Seahawks,Jason Myers 42 yard field goal,3,0
2.0,11:47,Seahawks,D.K. Metcalf 4 yard pass from Russell Wilson (Jason Myers kick),10,0
,4:46,Seahawks,Chris Carson 1 yard rush (Jason Myers kick),17,0
,0:27,Seahawks,D.K. Metcalf 2 yard pass from Russell Wilson (Jason Myers kick),24,0
3.0,10:54,Falcons,Brian Hill 23 yard rush (Calvin Ridley pass from Matt Schaub),24,8
,3:25,Falcons,Matt Bryant 47 yard field goal,24,11
4.0,5:53,Seahawks,Jason Myers 54 yard field goal,27,11
,3:08,Falcons,Austin Hooper 1 yard pass from Matt Schaub (pass failed),27,17
,1:17,Falcons,Matt Bryant 37 yard field goal,27,20
