Unnamed: 0,NOR,TAM
First Downs,11,17
Rush-Yds-TDs,31-61-0,21-118-0
Cmp-Att-Yd-TD-INT,13-27-154-0-0,26-48-214-0-1
Sacked-Yards,2-3,4-30
Net Pass Yards,151,184
Total Yards,212,302
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,6-41,3-30
Third Down Conv.,3-16,6-19
Fourth Down Conv.,0-0,0-1
Time of Possession,29:45,30:15
