Quarter,Time,Tm,Detail,NOR,TAM
1,5:44,Saints,Brett Maher 39 yard field goal,3,0
2,14:55,Saints,Brett Maher 35 yard field goal,6,0
4,7:28,Saints,Brett Maher 42 yard field goal,9,0
