Unnamed: 0,SDG,CIN
First Downs,16,27
Rush-Yds-TDs,40-196-2,25-113-0
Cmp-Att-Yd-TD-INT,12-16-128-1-0,29-51-334-1-2
Sacked-Yards,1-6,3-8
Net Pass Yards,122,326
Total Yards,318,439
Fumbles-Lost,0-0,3-2
Turnovers,0,4
Penalties-Yards,5-28,4-38
Third Down Conv.,4-12,3-12
Fourth Down Conv.,0-0,1-3
Time of Possession,29:28,30:32
