Quarter,Time,Tm,Detail,SDG,CIN
1.0,0:48,Chargers,Danny Woodhead 5 yard rush (Nick Novak kick),7,0
2.0,5:59,Bengals,Jermaine Gresham 4 yard pass from Andy Dalton (Mike Nugent kick),7,7
,0:00,Bengals,Mike Nugent 46 yard field goal,7,10
3.0,6:46,Chargers,Ladarius Green 4 yard pass from Philip Rivers (Nick Novak kick),14,10
,2:00,Chargers,Nick Novak 25 yard field goal,17,10
4.0,14:16,Chargers,Nick Novak 23 yard field goal,20,10
,2:17,Chargers,Ronnie Brown 58 yard rush (Nick Novak kick),27,10
