Unnamed: 0,GNB,MIA
First Downs,19,26
Rush-Yds-TDs,29-155-1,17-67-0
Cmp-Att-Yd-TD-INT,19-35-206-2-0,33-62-414-2-3
Sacked-Yards,2-15,4-33
Net Pass Yards,191,381
Total Yards,346,448
Fumbles-Lost,2-1,2-0
Turnovers,1,3
Penalties-Yards,9-74,8-70
Third Down Conv.,4-15,7-18
Fourth Down Conv.,2-2,3-3
Time of Possession,27:59,32:01
