#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:15,TAM 30,8,3:04,50,Missed FG
2,1,7:48,TAM 12,13,6:01,76,Field Goal
3,1,0:18,TAM 45,7,2:34,21,Downs
4,2,7:31,TAM 20,7,3:11,42,Downs
5,2,0:47,TAM 20,4,0:36,11,Interception
6,3,15:00,TAM 20,4,2:04,7,Punt
7,3,9:34,TAM 20,3,1:41,8,Punt
8,3,3:38,TAM 20,11,5:35,46,Downs
9,4,8:19,TAM 20,3,0:41,1,Punt
10,4,2:57,TAM 7,8,1:32,76,Downs
