Quarter,Time,Tm,Detail,CAR,SEA
1.0,7:47,Panthers,Eddy Pineiro 47 yard field goal,3,0
,3:33,Seahawks,Jason Myers 43 yard field goal,3,3
2.0,12:07,Seahawks,Jason Myers 35 yard field goal,3,6
,8:45,Seahawks,Jason Myers 33 yard field goal,3,9
,4:54,Panthers,DJ Chark 47 yard pass from Andy Dalton (Eddy Pineiro kick),10,9
,2:39,Panthers,Eddy Pineiro 44 yard field goal,13,9
,0:44,Seahawks,Jason Myers 37 yard field goal,13,12
3.0,9:45,Seahawks,Jason Myers 39 yard field goal,13,15
,3:52,Seahawks,Kenneth Walker III 1 yard rush (Jason Myers kick),13,22
4.0,14:55,Panthers,Miles Sanders 1 yard rush (Eddy Pineiro kick),20,22
,11:40,Seahawks,Kenneth Walker III 7 yard rush (Jason Myers kick),20,29
,4:17,Seahawks,Jake Bobo 5 yard pass from Geno Smith (Tyler Lockett pass from Geno Smith),20,37
,1:40,Panthers,Adam Thielen 15 yard pass from Andy Dalton (Eddy Pineiro kick),27,37
