Unnamed: 0,STL,NOR
First Downs,26,22
Rush-Yds-TDs,34-133-1,10-43-2
Cmp-Att-Yd-TD-INT,28-34-304-3-0,25-36-272-2-2
Sacked-Yards,4-28,2-16
Net Pass Yards,276,256
Total Yards,409,299
Fumbles-Lost,1-0,1-0
Turnovers,0,2
Penalties-Yards,5-77,2-28
Third Down Conv.,8-13,4-8
Fourth Down Conv.,0-0,0-1
Time of Possession,39:42,20:18
