Quarter,Time,Tm,Detail,STL,NOR
1.0,12:45,Saints,Reggie Bush 7 yard rush (Olindo Mare kick),0,7
,2:58,Rams,Steven Jackson 1 yard rush (Jeff Wilkins kick),7,7
2.0,8:37,Rams,Randy McMichael 2 yard pass from Steven Jackson (Jeff Wilkins kick),14,7
,5:37,Rams,Jeff Wilkins 49 yard field goal,17,7
3.0,8:55,Rams,Jeff Wilkins 21 yard field goal,20,7
,4:43,Rams,Isaac Bruce 9 yard pass from Marc Bulger (Jeff Wilkins kick),27,7
4.0,14:18,Rams,Drew Bennett 3 yard pass from Marc Bulger (Jeff Wilkins kick),34,7
,11:36,Saints,Billy Miller 1 yard pass from Drew Brees (Reggie Bush run),34,15
,4:42,Saints,Aaron Stecker 2 yard rush (pass failed),34,21
,1:55,Rams,Jeff Wilkins 44 yard field goal,37,21
,0:32,Saints,Eric Johnson 7 yard pass from Drew Brees (Reggie Bush run),37,29
