Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,PHI 20,0,0,Michael Vick pass complete short left to Riley Cooper for 6 yards (tackle by Perry Riley and David Amerson),0.280,0.540
1,14:35,2,4,PHI 26,0,0,Michael Vick pass complete short middle to Brent Celek for 28 yards (tackle by Josh Wilson),0.540,2.520
1,14:14,1,10,WAS 46,0,0,Michael Vick pass complete short left to DeSean Jackson for 16 yards (tackle by Bacarri Rambo),2.520,3.580
1,14:07,1,10,WAS 30,0,0,LeSean McCoy right guard for 6 yards (tackle by Josh Wilson),3.580,3.840
1,13:38,2,4,WAS 24,0,0,Michael Vick pass incomplete deep right intended for Brent Celek,3.840,3.140
1,13:33,3,4,WAS 24,0,0,LeSean McCoy right end for 3 yards (tackle by Brian Orakpo and Josh Wilson),3.140,2.210
1,13:09,4,1,WAS 21,0,0,LeSean McCoy up the middle for 4 yards (tackle by Barry Cofield and Perry Riley),2.210,4.440
1,12:38,1,10,WAS 17,0,0,Michael Vick pass incomplete short right intended for Riley Cooper (defended by Josh Wilson),4.440,3.850
1,12:29,2,10,WAS 17,0,0,LeSean McCoy left guard for 13 yards (tackle by David Amerson),3.850,6.280
1,12:14,1,4,WAS 4,0,6,"Michael Vick for -6 yards (tackle by Ryan Kerrigan). Michael Vick fumbles (forced by Ryan Kerrigan), recovered by DeAngelo Hall at WAS-25 and returned for 75 yards, touchdown",6.280,-7.000
,,,,,,,"Replay Assistant challenged the backward pass ruling, and the play was upheld.",,
1,11:54,,,PHI 2,0,7,Kai Forbath kicks extra point good,0.000,0.000
1,11:54,,,WAS 35,0,7,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.280
1,11:54,1,10,PHI 20,0,7,Michael Vick pass complete short right to DeSean Jackson for 26 yards (tackle by Bacarri Rambo),0.280,1.990
1,11:27,1,10,PHI 46,0,7,LeSean McCoy left guard for 10 yards (tackle by David Amerson),1.990,2.650
1,11:01,1,10,WAS 44,0,7,LeSean McCoy up the middle for 1 yard (tackle by Ryan Kerrigan),2.650,2.250
1,10:34,2,9,WAS 43,0,7,Bryce Brown up the middle for 7 yards (tackle by Josh Wilson and London Fletcher),2.250,2.480
1,10:12,3,2,WAS 36,0,7,Bryce Brown left guard for 7 yards (tackle by Bacarri Rambo),2.480,3.640
1,9:42,1,10,WAS 29,0,7,Michael Vick pass incomplete deep left intended for Jason Avant,3.640,3.100
1,9:36,2,10,WAS 29,0,7,Michael Vick pass incomplete deep middle intended for Zach Ertz,3.100,2.410
1,9:31,3,10,WAS 29,0,7,Michael Vick pass incomplete short left intended for Zach Ertz (defended by E.J. Biggers),2.410,1.500
,,,,,,,"PHI challenged the pass completion ruling, and the play was upheld.",,
1,9:20,4,10,WAS 29,3,7,Alex Henery 48 yard field goal good,1.500,3.000
1,9:20,,,PHI 35,3,7,"Alex Henery kicks off 65 yards, touchback",0.000,-0.280
1,9:15,1,10,WAS 20,3,7,"Alfred Morris right tackle for 3 yards (tackle by Trent Cole). Alfred Morris fumbles (forced by Trent Cole), recovered by Mychal Kendricks at WAS-25 (tackle by Trent Williams)",0.280,-3.910
1,9:07,1,10,WAS 25,9,7,"Michael Vick pass complete deep middle to DeSean Jackson for 25 yards, touchdown",3.910,7.000
1,9:07,,,WAS 2,10,7,Alex Henery kicks extra point good,0.000,0.000
1,9:07,,,PHI 35,10,7,"Alex Henery kicks off 65 yards, touchback",0.000,-0.280
1,8:59,1,10,WAS 20,10,7,Alfred Morris right end for -3 yards (tackle by Mychal Kendricks),0.280,-0.790
1,8:29,2,13,WAS 17,10,7,"Robert Griffin pass complete short left to Fred Davis for 8 yards (tackle by Patrick Chung). Penalty on Josh Morgan: Illegal Shift, 5 yards (no play)",-0.790,-1.360
1,8:06,2,18,WAS 12,10,7,Robert Griffin pass complete short middle to Alfred Morris for 9 yards (tackle by Mychal Kendricks),-1.360,-0.820
1,7:25,3,9,WAS 21,10,7,Robert Griffin pass incomplete deep middle intended for Santana Moss is intercepted by Brandon Boykin at WAS-48,-0.820,-2.390
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned.",,
1,7:20,1,10,WAS 48,10,7,LeSean McCoy right end for 16 yards (tackle by Josh Wilson),2.390,3.450
1,7:04,1,10,WAS 32,10,7,"Michael Vick pass complete short left to DeSean Jackson for 5 yards (tackle by Josh Wilson and E.J. Biggers). Penalty on Jason Avant: Offensive Pass Interference, 10 yards (no play)",3.450,2.790
1,6:43,1,20,WAS 42,10,7,Michael Vick right tackle for 2 yards (tackle by Perry Riley and Barry Cofield),2.790,1.820
1,6:08,2,18,WAS 40,10,7,Michael Vick sacked by Perry Riley for -6 yards,1.820,0.370
1,5:43,3,24,WAS 46,10,7,LeSean McCoy right guard for 7 yards (tackle by London Fletcher and Darryl Tapp),0.370,0.660
1,5:09,4,17,WAS 39,10,7,"Donnie Jones punts 34 yards, fair catch by Chris Thompson",0.660,0.380
1,5:01,1,10,WAS 5,10,7,Robert Griffin pass incomplete short right intended for Darrel Young,-0.380,-0.780
1,4:56,2,10,WAS 5,12,7,"Robert Griffin for no gain. Robert Griffin fumbles, recovered by Alfred Morris at WAS--5, safety",-0.780,-2.000
1,4:56,,,WAS 20,12,7,"Saverio Rocca kicks off 56 yards, returned by DeSean Jackson for 10 yards (tackle by Bryan Kehl)",0.000,-1.200
1,4:45,1,10,PHI 34,12,7,LeSean McCoy up the middle for 1 yard (tackle by Brian Orakpo),1.200,0.790
1,4:15,2,9,PHI 35,12,7,Michael Vick pass incomplete short left intended for Riley Cooper,0.790,0.100
