Unnamed: 0,PHI,WAS
First Downs,26,25
Rush-Yds-TDs,49-263-2,18-74-1
Cmp-Att-Yd-TD-INT,15-25-203-2-0,30-49-329-2-2
Sacked-Yards,3-23,3-21
Net Pass Yards,180,308
Total Yards,443,382
Fumbles-Lost,2-2,2-1
Turnovers,2,3
Penalties-Yards,8-65,10-75
Third Down Conv.,7-15,2-10
Fourth Down Conv.,1-1,1-2
Time of Possession,32:39,27:21
