Quarter,Time,Down,ToGo,Location,BUF,LAR,Detail,EPB,EPA
1,2:32,,,LAR 4,7,3,Dan Carpenter kicks extra point good,0.000,0.000
1,2:32,,,BUF 35,7,3,"Dan Carpenter kicks off 65 yards, touchback",0.000,-0.610
1,2:22,1,10,LAR 25,7,3,"Case Keenum pass incomplete deep left intended for Kenny Britt (defended by Jerry Hughes). Penalty on Adolphus Washington: Roughing the Passer, 15 yards (no play)",0.610,1.600
1,2:14,1,10,LAR 40,7,3,Todd Gurley left tackle for 2 yards (tackle by Preston Brown and Zach Brown),1.600,1.320
1,1:38,2,8,LAR 42,7,3,Case Keenum pass complete short right to Kenny Britt for 28 yards (tackle by Corey Graham),1.320,3.580
1,0:52,1,10,BUF 30,7,3,Case Keenum sacked by Adolphus Washington for -9 yards,3.580,1.820
1,0:10,2,19,BUF 39,7,3,"Todd Gurley middle for 1 yard (tackle by Lerentee McCray). Todd Gurley fumbles (forced by Lerentee McCray), recovered by Corey Graham at BUF-37 (tackle by Lance Kendricks)",1.820,-1.400
Quarter,Time,Down,ToGo,Location,BUF,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BUF 37,7,3,"Tyrod Taylor pass incomplete short left intended for Charles Clay. Penalty on Matt Longacre: Defensive Offside, 5 yards (no play)",1.400,2.130
2,14:52,1,5,BUF 42,7,3,LeSean McCoy middle for 53 yards (tackle by E.J. Gaines),2.130,6.060
2,14:05,1,5,LAR 5,13,3,"Mike Gillislee right end for 5 yards, touchdown",6.060,7.000
2,14:05,,,LAR 5,13,3,"Dan Carpenter kicks extra point no good, blocked by Cam Thomas",0.000,-1.000
2,14:05,,,BUF 35,13,3,"Dan Carpenter kicks off 67 yards, returned by Pharoh Cooper for 23 yards (tackle by Robert Blanton)",0.000,-0.340
2,13:52,1,10,LAR 21,13,3,Todd Gurley middle for 7 yards (tackle by Adolphus Washington),0.340,0.750
2,13:15,2,3,LAR 28,13,3,Todd Gurley left end for 2 yards (tackle by Zach Brown),0.750,0.300
2,12:33,3,1,LAR 30,13,3,Case Keenum pass incomplete deep right intended for Brian Quick,0.300,-1.370
2,12:25,4,1,LAR 30,13,3,"Johnny Hekker punts 57 yards, returned by Brandon Tate for -2 yards (tackle by Mike Thomas)",-1.370,0.370
2,12:15,1,10,BUF 11,13,3,Tyrod Taylor sacked by Aaron Donald and Dominique Easley for -7 yards,-0.370,-1.290
2,11:39,2,17,BUF 4,13,3,LeSean McCoy left end for 4 yards (tackle by Mark Barron),-1.290,-1.770
2,11:12,3,13,BUF 8,13,3,Tyrod Taylor pass complete short middle to Charles Clay for 12 yards (tackle by Lamarcus Joyner),-1.770,-2.030
2,10:26,4,1,BUF 20,13,3,"Colton Schmidt punts 45 yards, out of bounds",-2.030,-1.270
2,10:19,1,10,LAR 35,13,3,Case Keenum pass complete deep left to Tavon Austin for 31 yards,1.270,3.310
2,9:53,1,10,BUF 34,13,3,"Todd Gurley left end for -2 yards (tackle by Corbin Bryant and Zach Brown). Penalty on Corbin Bryant: Face Mask (15 Yards), 15 yards (no play)",3.310,4.310
2,9:26,1,10,BUF 19,13,3,Case Keenum pass incomplete short right intended for Todd Gurley,4.310,3.750
2,9:19,2,10,BUF 19,13,3,Todd Gurley left tackle for 5 yards (tackle by Preston Brown),3.750,3.760
2,8:34,3,5,BUF 14,13,3,Case Keenum pass complete short right to Tavon Austin for 1 yard (tackle by Nickell Robey-Coleman and Preston Brown),3.760,2.640
2,7:49,4,4,BUF 13,13,6,Greg Zuerlein 32 yard field goal good,2.640,3.000
2,7:49,,,LAR 35,13,6,"Greg Zuerlein kicks off 67 yards, returned by Brandon Tate for 26 yards (tackle by Bradley Marquez). Penalty on Corbin Bryant: Illegal Block Above the Waist, 10 yards",0.000,0.380
2,7:38,1,10,BUF 10,13,6,"Penalty on Cam Thomas: Encroachment, 5 yards (no play)",-0.380,0.080
2,7:38,1,5,BUF 15,13,6,LeSean McCoy right end for 2 yards (tackle by Lamarcus Joyner and Dominique Easley),0.080,-0.090
2,7:02,2,3,BUF 17,13,6,Tyrod Taylor pass incomplete short right intended for Marquise Goodwin (defended by Trumaine Johnson),-0.090,-0.600
2,6:57,3,3,BUF 17,13,6,Tyrod Taylor pass incomplete short middle intended for Marquise Goodwin (defended by Alec Ogletree),-0.600,-2.320
2,6:49,4,3,BUF 17,13,6,"Colton Schmidt punts 52 yards, returned by Tavon Austin for 5 yards (tackle by Colt Anderson)",-2.320,-1.330
2,6:35,1,10,LAR 36,13,6,Todd Gurley left tackle for 12 yards (tackle by Kyle Williams),1.330,2.130
2,6:02,1,10,LAR 48,13,6,Todd Gurley right tackle for 2 yards (tackle by Kyle Williams and Zach Brown),2.130,1.850
2,5:22,2,8,,13,6,Case Keenum pass complete short right to Kenny Britt for 18 yards (tackle by Ronald Darby),1.850,3.450
2,4:41,1,10,BUF 32,13,6,Malcolm Brown left tackle for no gain (tackle by Leger Douzable),3.450,2.900
2,4:04,2,10,BUF 32,13,6,Case Keenum pass complete short right to Tavon Austin for 5 yards (tackle by Ronald Darby),2.900,2.870
2,3:27,3,5,BUF 27,13,6,Case Keenum pass complete short left to Brian Quick for 12 yards (tackle by Stephon Gilmore),2.870,4.580
2,2:48,1,10,BUF 15,13,6,"Penalty on BUF: Defensive 12 On-field, 5 yards (no play)",4.580,5.740
2,2:37,1,5,BUF 10,13,6,Tavon Austin for 9 yards (tackle by Ronald Darby),5.740,6.970
2,2:00,1,1,BUF 1,13,12,"Todd Gurley right guard for 1 yard, touchdown",6.970,7.000
2,2:00,,,BUF 1,13,13,Greg Zuerlein kicks extra point good,0.000,0.000
2,2:00,,,LAR 35,13,13,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
2,1:56,1,10,BUF 25,13,13,Tyrod Taylor pass complete short right to LeSean McCoy for 5 yards (tackle by Mark Barron),0.610,0.740
2,1:33,2,5,BUF 30,13,13,Tyrod Taylor pass complete short right to Robert Woods for 9 yards (tackle by Trumaine Johnson),0.740,1.530
2,1:09,1,10,BUF 39,13,13,LeSean McCoy right tackle for 9 yards (tackle by Lamarcus Joyner),1.530,1.530
2,1:01,1,10,BUF 39,13,13,Timeout #1 by Buffalo Bills,1.530,2.200
2,1:01,2,1,BUF 48,13,13,Tyrod Taylor pass incomplete short left intended for Robert Woods,2.200,1.490
2,0:57,3,1,BUF 48,13,13,Tyrod Taylor pass complete short left to Robert Woods for 17 yards (tackle by Maurice Alexander),1.490,3.250
2,0:30,1,10,LAR 35,13,13,Tyrod Taylor sacked by Ethan Westbrooks for -5 yards,3.250,3.250
2,0:24,1,10,LAR 35,13,13,Timeout #2 by Buffalo Bills,3.250,2.030
2,0:24,2,15,LAR 40,13,13,LeSean McCoy for 17 yards (tackle by T.J. McDonald),2.030,4.040
2,0:16,1,10,LAR 23,13,13,Tyrod Taylor for 4 yards (tackle by Alec Ogletree),4.040,4.050
2,0:09,2,6,LAR 19,13,13,Tyrod Taylor pass complete short left to Charles Clay for 14 yards (tackle by E.J. Gaines),4.050,4.050
2,0:03,2,6,LAR 19,13,13,Timeout #3 by Buffalo Bills,4.050,6.060
2,0:03,1,5,LAR 5,16,13,Dan Carpenter 23 yard field goal good,6.060,3.000
Quarter,Time,Down,ToGo,Location,BUF,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,16,13,"Greg Zuerlein kicks off 62 yards, returned by Brandon Tate for 19 yards (tackle by Marqui Christian)",0.000,0.410
3,14:53,1,10,BUF 22,16,13,LeSean McCoy left tackle for -2 yards (tackle by Eugene Sims),0.410,-0.400
3,14:17,2,12,BUF 20,16,13,Tyrod Taylor pass complete short middle to Charles Clay for 6 yards (tackle by Alec Ogletree and Lamarcus Joyner),-0.400,-0.290
3,13:37,3,6,BUF 26,16,13,Tyrod Taylor pass incomplete short left intended for Marquise Goodwin,-0.290,-1.630
3,13:29,4,6,BUF 26,16,13,"Colton Schmidt punts 58 yards, out of bounds",-1.630,0.140
3,13:18,1,10,LAR 16,16,13,Case Keenum pass complete short right to Kenny Britt for 14 yards (tackle by Aaron Williams),-0.140,0.940
3,12:44,1,10,LAR 30,16,13,Todd Gurley middle for 16 yards (tackle by Lorenzo Alexander),0.940,1.990
3,12:07,1,10,LAR 46,16,13,Todd Gurley right guard for 4 yards (tackle by Preston Brown),1.990,1.990
3,11:27,2,6,,16,13,Case Keenum pass complete short left to Lance Kendricks for 3 yards (tackle by Preston Brown),1.990,1.690
3,10:48,3,3,BUF 47,16,13,Todd Gurley left end for 4 yards (tackle by Preston Brown),1.690,2.720
3,10:15,1,10,BUF 43,16,13,Malcolm Brown right end for 2 yards (tackle by Adolphus Washington),2.720,2.450
3,9:34,2,8,BUF 41,16,13,Case Keenum pass complete short right to Kenny Britt for 5 yards (tackle by Ronald Darby),2.450,2.410
3,8:51,3,3,BUF 36,16,13,Case Keenum sacked by Lorenzo Alexander for 0 yards,2.410,0.890
3,8:11,4,3,BUF 36,16,16,Greg Zuerlein 54 yard field goal good,0.890,3.000
3,8:11,,,LAR 35,16,16,"Greg Zuerlein kicks off 65 yards, returned by Brandon Tate for 22 yards (tackle by Cory Littleton)",0.000,-0.410
3,7:58,1,10,BUF 22,16,16,LeSean McCoy left tackle for 1 yard (tackle by Alec Ogletree and Josh Forrest),0.410,0.000
3,7:28,2,9,BUF 23,16,16,Reggie Bush right end for 3 yards (tackle by Mark Barron),0.000,-0.290
3,6:42,3,6,BUF 26,16,16,Tyrod Taylor pass incomplete short right intended for Marquise Goodwin,-0.290,-1.630
3,6:37,4,6,BUF 26,16,16,"Colton Schmidt punts 51 yards, returned by Tavon Austin for 17 yards (tackle by Jonathan Meeks). Penalty on Josh Forrest: Roughing the Kicker, 15 yards (no play)",-1.630,1.660
3,6:22,1,10,BUF 41,16,16,LeSean McCoy middle for 3 yards (tackle by E.J. Gaines),1.660,1.530
3,5:47,2,7,BUF 44,16,16,Tyrod Taylor pass incomplete,1.530,1.530
3,5:38,2,7,BUF 44,16,16,Timeout #1 by Buffalo Bills,1.530,0.830
3,5:38,3,7,BUF 44,16,16,Tyrod Taylor pass incomplete deep left intended for Robert Woods,0.830,-0.460
3,5:32,4,7,BUF 44,16,16,"Colton Schmidt punts 39 yards, returned by Tavon Austin for -3 yards (tackle by Colt Anderson)",-0.460,0.280
3,5:23,1,10,LAR 14,16,16,Case Keenum pass complete short left to Lance Kendricks for 21 yards (tackle by Jerry Hughes and Aaron Williams),-0.280,1.270
3,4:47,1,10,LAR 35,16,16,Todd Gurley middle for -4 yards (tackle by Jerel Worthy),1.270,0.180
3,4:05,2,14,LAR 31,22,16,"Case Keenum pass incomplete short right intended for Pharoh Cooper is intercepted by Nickell Robey-Coleman at LAR-41 and returned for 41 yards, touchdown",0.180,-7.000
3,3:54,,,LAR 31,23,16,Dan Carpenter kicks extra point good,0.000,0.000
3,3:54,,,BUF 35,23,16,"Dan Carpenter kicks off 68 yards, returned by Mike Thomas for 19 yards (tackle by Lorenzo Alexander)",0.000,0.140
3,3:48,1,10,LAR 16,23,16,Todd Gurley left end for 2 yards (tackle by Jerel Worthy),-0.140,-0.350
3,3:10,2,8,LAR 18,23,16,Case Keenum pass complete short left to Tavon Austin for 4 yards (tackle by Stephon Gilmore),-0.350,-0.570
3,2:36,3,4,LAR 22,23,16,Case Keenum sacked by Lorenzo Alexander for -11 yards,-0.570,-2.490
3,1:58,4,15,LAR 11,23,16,"Johnny Hekker punts 52 yards, returned by Brandon Tate for no gain",-2.490,-1.400
3,1:48,1,10,BUF 37,23,16,Tyrod Taylor pass complete short right to Marquise Goodwin for 7 yards (tackle by T.J. McDonald),1.400,1.800
3,1:24,2,3,BUF 44,23,16,LeSean McCoy right end for 13 yards (tackle by Mark Barron),1.800,2.720
3,0:46,1,10,LAR 43,23,16,Tyrod Taylor pass complete short left to LeSean McCoy for 3 yards (tackle by Dominique Easley and Mark Barron),2.720,2.580
Quarter,Time,Down,ToGo,Location,BUF,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,7,LAR 40,23,16,Mike Gillislee middle for 1 yard (tackle by Mark Barron),2.580,2.010
4,14:27,3,6,LAR 39,23,16,Tyrod Taylor pass incomplete,2.010,0.660
4,14:17,4,6,LAR 39,23,16,Colton Schmidt punts 32 yards,0.660,0.380
4,14:07,1,10,LAR 7,23,16,Case Keenum pass complete short left to Brian Quick for 8 yards (tackle by Stephon Gilmore),-0.380,-0.140
4,13:31,2,2,LAR 15,23,16,Todd Gurley left guard for 1 yard (tackle by Zach Brown),-0.140,-0.370
4,12:47,3,1,LAR 16,23,16,"Todd Gurley left tackle for 2 yards (tackle by Jerry Hughes). Todd Gurley fumbles (forced by Jerry Hughes), recovered by Todd Gurley at LAR-18",-0.370,0.040
4,11:59,1,10,LAR 18,23,16,"Penalty on Case Keenum: Delay of Game, 5 yards (no play)",0.040,-0.450
4,11:41,1,15,LAR 13,23,16,Case Keenum pass complete deep middle to Brian Quick for 31 yards (tackle by Zach Brown),-0.450,1.860
4,10:46,1,10,LAR 44,23,16,"Penalty on Case Keenum: Delay of Game, 5 yards (no play)",1.860,1.530
4,10:27,1,15,LAR 39,23,16,Case Keenum pass complete short middle to Malcolm Brown for 26 yards (tackle by Preston Brown),1.530,3.250
4,9:47,1,10,BUF 35,23,16,"Case Keenum pass incomplete deep right intended for Tavon Austin. Penalty on Stephon Gilmore: Defensive Holding, 5 yards (no play)",3.250,3.580
4,9:36,1,10,BUF 30,23,16,Todd Gurley right tackle for 1 yard (tackle by Zach Brown and Preston Brown),3.580,3.170
4,8:58,2,9,BUF 29,23,16,Case Keenum pass complete short right to Kenny Britt for 10 yards (tackle by Robert Blanton),3.170,4.310
4,8:17,1,10,BUF 19,23,16,Tavon Austin for 9 yards (tackle by Corey Graham),4.310,5.360
4,7:50,2,1,BUF 10,23,16,Todd Gurley middle for 2 yards (tackle by Corbin Bryant),5.360,5.370
4,7:06,1,8,BUF 8,23,16,Todd Gurley left end for -5 yards (tackle by Lorenzo Alexander). Penalty on Rodger Saffold: Offensive Holding (Declined),5.370,3.720
4,6:41,2,13,BUF 13,23,16,Case Keenum pass incomplete short right intended for Tavon Austin (defended by Adolphus Washington),3.720,3.060
4,6:34,3,13,BUF 13,23,16,Case Keenum pass complete short left to Todd Gurley for 9 yards (tackle by Stephon Gilmore and Robert Blanton),3.060,3.030
4,5:55,4,4,BUF 4,23,19,Greg Zuerlein 22 yard field goal good,3.030,3.000
4,5:55,,,LAR 35,23,19,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
4,5:51,1,10,BUF 25,23,19,LeSean McCoy right end for 4 yards (tackle by Mark Barron),0.610,0.600
4,5:10,2,6,BUF 29,23,19,Tyrod Taylor right end for 3 yards (tackle by Ethan Westbrooks),0.600,0.300
4,4:47,3,3,BUF 32,23,19,Tyrod Taylor pass incomplete short right intended for Walt Powell (defended by E.J. Gaines),0.300,-1.240
4,4:42,4,3,BUF 32,23,19,"Colton Schmidt punts 50 yards, out of bounds",-1.240,-0.040
4,4:35,1,10,LAR 18,23,19,Case Keenum pass complete short left to Todd Gurley for 3 yards (tackle by Lorenzo Alexander),0.040,0.010
4,4:30,2,7,LAR 21,23,19,Todd Gurley middle for 2 yards (tackle by Kyle Williams),0.010,-0.530
4,3:54,3,5,LAR 23,23,19,Case Keenum pass incomplete short left intended for Lance Kendricks (defended by Lorenzo Alexander),-0.530,-1.830
4,3:47,4,5,LAR 23,23,19,Bradley Marquez right end for 2 yards (tackle by Ronald Darby),-1.830,-3.910
4,3:41,1,10,LAR 25,23,19,LeSean McCoy left tackle for 24 yards (tackle by Dominique Easley),3.910,6.970
4,2:55,1,1,LAR 1,23,19,LeSean McCoy middle for no gain (tackle by Dominique Easley),6.970,6.970
4,2:48,1,1,LAR 1,23,19,Timeout #1 by Los Angeles Rams,6.970,5.910
4,2:48,2,1,LAR 1,23,19,"Mike Gillislee middle for -2 yards (tackle by Aaron Donald). Penalty on Cordy Glenn: Illegal Formation, 5 yards (no play)",5.910,4.950
4,2:43,2,6,LAR 6,29,19,"Tyrod Taylor pass complete short left to Marquise Goodwin for 6 yards, touchdown",4.950,7.000
4,2:43,,,LAR 6,30,19,Dan Carpenter kicks extra point good,0.000,0.000
4,2:43,,,BUF 35,30,19,"Dan Carpenter kicks off 62 yards, returned by Mike Thomas for 21 yards (tackle by Ramon Humber)",0.000,-0.540
4,2:30,1,10,LAR 24,30,19,Case Keenum pass incomplete short right intended for Tyler Higbee,0.540,0.000
4,2:24,2,10,LAR 24,30,19,Case Keenum pass incomplete deep left intended for Kenny Britt,0.000,-0.690
4,2:17,3,10,LAR 24,30,19,Case Keenum sacked by Lorenzo Alexander for -8 yards,-0.690,-2.390
4,2:00,4,18,LAR 16,30,19,Case Keenum pass incomplete short right intended for Tavon Austin is intercepted by Nickell Robey-Coleman at LAR-17 and returned for 3 yards,-2.390,-4.650
4,1:48,1,10,LAR 14,30,19,LeSean McCoy right guard for -1 yards (tackle by Aaron Donald),4.650,3.850
4,1:02,2,11,LAR 15,30,19,LeSean McCoy left tackle for -3 yards (tackle by Matt Longacre),3.850,2.840
4,0:14,3,14,LAR 18,30,19,Tyrod Taylor kneels for -1 yards,2.840,2.180
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
