Unnamed: 0,BUF,LAR
First Downs,15,23
Rush-Yds-TDs,27-193-1,29-102-1
Cmp-Att-Yd-TD-INT,12-23-124-2-0,21-31-271-0-2
Sacked-Yards,2-12,4-28
Net Pass Yards,112,243
Total Yards,305,345
Fumbles-Lost,1-0,2-1
Turnovers,0,3
Penalties-Yards,7-60,6-40
Third Down Conv.,4-12,4-12
Fourth Down Conv.,0-0,0-2
Time of Possession,24:26,35:34
