#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:31,OAK 31,4,2:38,16,Punt
2,1,3:33,OAK 20,9,5:22,48,Missed FG
3,2,10:33,OAK 2,3,1:20,4,Punt
4,2,8:27,OAK 20,11,6:09,52,Missed FG
5,2,1:10,OAK 20,9,1:07,41,Missed FG
6,3,15:00,OAK 10,6,3:36,29,Interception
7,3,9:15,OAK 25,3,1:44,6,Punt
8,3,6:11,OAK 38,6,2:22,62,Touchdown
9,3,2:18,DET 27,4,1:29,27,Touchdown
10,4,12:13,OAK 30,8,4:30,70,Touchdown
11,4,4:15,OAK 31,2,1:14,5,Interception
12,4,1:56,OAK 37,1,0:19,-14,Fumble
13,4,1:16,OAK 26,3,1:16,-1,End of Game
