Quarter,Time,Down,ToGo,Location,DET,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,OAK 30,0,0,"Sebastian Janikowski kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,DET 20,0,0,Tatum Bell up the middle for -1 yards (tackle by Derrick Burgess),0.280,-0.460
1,15:00,2,11,DET 19,0,0,Jon Kitna pass complete short middle to Tatum Bell for 1 yard (tackle by Sam Williams),-0.460,-0.960
1,13:46,3,10,DET 20,0,0,Jon Kitna pass incomplete deep right intended for Calvin Johnson,-0.960,-2.030
1,13:44,4,10,DET 20,0,0,"Nick Harris punts 44 yards, returned by Johnnie Lee Higgins for -5 yards (tackle by Idrees Bashir)",-2.030,-1.000
1,13:31,1,10,OAK 31,0,0,Josh McCown pass complete short left to Ronald Curry for 13 yards (tackle by Ernie Sims),1.000,1.860
1,12:54,1,10,OAK 44,0,0,LaMont Jordan left tackle for 4 yards (tackle by Cory Redding and Kalimba Edwards),1.860,1.860
1,12:20,2,6,OAK 48,0,0,LaMont Jordan right tackle for -1 yards,1.860,1.030
1,11:36,3,7,OAK 47,0,0,"Josh McCown for no gain. Josh McCown fumbles, recovered by Josh McCown at OAK-OAK",1.030,-0.260
1,11:05,4,7,OAK 47,0,0,Shane Lechler punts 52 yards,-0.260,0.380
1,10:53,1,10,DET 1,0,0,Jon Kitna pass complete short left to Sean McHugh for 32 yards (tackle by Kirk Morrison),-0.380,1.140
1,10:27,1,10,DET 33,0,0,Jon Kitna pass complete deep right to Calvin Johnson for 26 yards (tackle by Stuart Schweigert),1.140,2.850
1,9:46,1,10,OAK 41,0,0,"Jon Kitna pass complete deep right to Mike Furrey for 16 yards. Penalty on Mike Furrey: Offensive Pass Interference, 10 yards (no play)",2.850,2.190
1,9:21,1,20,DET 49,0,0,Tatum Bell left tackle for 6 yards (tackle by Kirk Morrison),2.190,1.770
