Quarter,Time,Tm,Detail,MIA,CLE
1.0,8:09,Dolphins,Daniel Thomas 10 yard pass from Chad Henne (Dan Carpenter kick),7,0
2.0,7:16,Browns,Josh Cribbs 33 yard pass from Colt McCoy (Phil Dawson kick),7,7
,0:27,Dolphins,Dan Carpenter 23 yard field goal,10,7
3.0,10:37,Browns,Phil Dawson 30 yard field goal,10,10
,2:29,Dolphins,Dan Carpenter 41 yard field goal,13,10
4.0,3:23,Dolphins,Dan Carpenter 38 yard field goal,16,10
,0:43,Browns,Mohamed Massaquoi 14 yard pass from Colt McCoy (Phil Dawson kick),16,17
