Quarter,Time,Tm,Detail,DET,NYG
1.0,7:52,Lions,Michael Badgley 24 yard field goal,3,0
,2:41,Giants,Daniel Jones 3 yard rush (Graham Gano kick failed),3,6
2.0,4:38,Lions,Jamaal Williams 4 yard rush (Michael Badgley kick),10,6
,0:54,Lions,Jamaal Williams 1 yard rush (Michael Badgley kick),17,6
3.0,10:10,Lions,Jamaal Williams 1 yard rush (Michael Badgley kick),24,6
4.0,13:21,Giants,Matt Breida 3 yard rush (Graham Gano kick failed),24,12
,6:10,Lions,D'Andre Swift 4 yard rush (Michael Badgley kick),31,12
,4:20,Giants,Richie James 9 yard pass from Daniel Jones (pass failed),31,18
