Unnamed: 0,DET,NYG
First Downs,23,25
Rush-Yds-TDs,37-160-4,26-89-2
Cmp-Att-Yd-TD-INT,17-26-165-0-0,27-44-341-1-2
Sacked-Yards,0-0,2-17
Net Pass Yards,165,324
Total Yards,325,413
Fumbles-Lost,1-0,1-1
Turnovers,0,3
Penalties-Yards,5-45,8-63
Third Down Conv.,6-13,5-13
Fourth Down Conv.,0-0,2-3
Time of Possession,31:48,28:12
