Quarter,Time,Tm,Detail,SFO,DEN
1.0,8:29,Broncos,Emmanuel Sanders 3 yard pass from Peyton Manning (Brandon McManus kick),0,7
,2:57,Broncos,Wes Welker 39 yard pass from Peyton Manning (Brandon McManus kick),0,14
2.0,7:30,49ers,Phil Dawson 22 yard field goal,3,14
,3:09,Broncos,Demaryius Thomas 8 yard pass from Peyton Manning (Brandon McManus kick),3,21
,0:11,49ers,Stevie Johnson 4 yard pass from Colin Kaepernick (Phil Dawson kick),10,21
3.0,11:48,Broncos,Demaryius Thomas 40 yard pass from Peyton Manning (Brandon McManus kick),10,28
,9:24,Broncos,Ronnie Hillman 37 yard rush (Brandon McManus kick),10,35
,1:36,Broncos,Ronnie Hillman 1 yard rush (Brandon McManus kick),10,42
4.0,1:00,49ers,Bruce Ellington 20 yard pass from Blaine Gabbert (Phil Dawson kick),17,42
