Unnamed: 0,SFO,DEN
First Downs,22,23
Rush-Yds-TDs,18-62-0,27-115-2
Cmp-Att-Yd-TD-INT,27-46-301-2-1,22-27-318-4-0
Sacked-Yards,6-53,2-14
Net Pass Yards,248,304
Total Yards,310,419
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,6-62,8-75
Third Down Conv.,3-13,5-9
Fourth Down Conv.,1-2,0-0
Time of Possession,32:01,27:59
