Quarter,Time,Down,ToGo,Location,SFO,DEN,Detail,EPB,EPA
2,12:04,1,10,SFO 41,0,14,Colin Kaepernick pass complete short right to Brandon Lloyd for 12 yards (tackle by Aqib Talib),1.660,2.460
2,11:23,1,10,DEN 47,0,14,Colin Kaepernick pass complete short left to Anquan Boldin for 3 yards (tackle by Bradley Roby),2.460,2.320
2,10:42,2,7,DEN 44,0,14,Colin Kaepernick pass incomplete short right intended for Michael Crabtree,2.320,1.620
2,10:37,3,7,DEN 44,0,14,"Colin Kaepernick pass incomplete deep right intended for Anquan Boldin (defended by Bradley Roby). Penalty on Bradley Roby: Defensive Pass Interference, 19 yards (no play)",1.620,3.910
2,10:31,1,10,DEN 25,0,14,Frank Gore up the middle for 2 yards (tackle by Derek Wolfe and Terrance Knighton),3.910,3.630
2,9:50,2,8,DEN 23,0,14,Colin Kaepernick pass incomplete short left intended for Frank Gore,3.630,3.630
2,9:40,2,8,DEN 23,0,14,Timeout #2 by San Francisco 49ers,3.630,2.940
2,9:40,3,8,DEN 23,0,14,Colin Kaepernick pass complete short left to Anquan Boldin for 18 yards (tackle by Bradley Roby),2.940,6.060
2,9:03,1,5,DEN 5,0,14,Frank Gore up the middle for 1 yard (tackle by Brandon Marshall),6.060,5.340
2,8:20,2,4,DEN 4,0,14,Colin Kaepernick pass complete short right to Michael Crabtree for no gain,5.340,4.490
2,7:37,3,4,DEN 4,0,14,Colin Kaepernick pass incomplete short left intended for Anquan Boldin,4.490,3.030
2,7:33,4,4,DEN 4,3,14,Phil Dawson 22 yard field goal good,3.030,3.000
2,7:33,,,SFO 35,3,14,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.280
2,7:30,1,10,DEN 20,3,14,Virgil Green left end for 3 yards (tackle by Chris Cook),0.280,0.140
2,7:02,2,7,DEN 23,3,14,Peyton Manning pass incomplete short left intended for Julius Thomas,0.140,-0.560
2,6:57,3,7,DEN 23,3,14,"Peyton Manning pass complete deep left to Emmanuel Sanders for 20 yards (tackle by Antoine Bethea). Penalty on Aaron Lynch: Unnecessary Roughness, 15 yards",-0.560,2.790
,,,,,,,"SFO challenged the pass completion ruling, and the play was upheld.",,
2,6:51,1,10,SFO 42,3,14,Ronnie Hillman right guard for 4 yards (tackle by Chris Borland),2.790,2.780
2,6:26,2,6,SFO 38,3,14,Peyton Manning pass complete short right to Julius Thomas for 10 yards (tackle by Chris Borland),2.780,3.710
2,5:41,1,10,SFO 28,3,14,Peyton Manning pass complete short right to Demaryius Thomas for 8 yards (tackle by Tramaine Brock),3.710,4.250
2,5:05,2,2,SFO 20,3,14,Juwan Thompson up the middle for 3 yards (tackle by Chris Borland),4.250,4.440
2,4:34,1,10,SFO 17,3,14,Ronnie Hillman right end for no gain (tackle by Michael Wilhoite),4.440,3.850
2,4:03,2,10,SFO 17,3,14,"Peyton Manning pass incomplete deep middle intended for Emmanuel Sanders. Penalty on Tramaine Brock: Defensive Pass Interference, 16 yards (no play)",3.850,6.970
2,3:59,1,1,SFO 1,3,14,Peyton Manning pass incomplete short right intended for Julius Thomas,6.970,5.910
2,3:55,2,1,SFO 1,3,14,Peyton Manning sacked by Chris Borland for -7 yards,5.910,3.580
2,3:15,3,8,SFO 8,3,20,"Peyton Manning pass complete short right to Demaryius Thomas for 8 yards, touchdown",3.580,7.000
2,3:15,,,SFO 2,3,21,Brandon McManus kicks extra point good,0.000,0.000
2,3:15,,,DEN 35,3,21,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
2,3:09,1,10,SFO 20,3,21,Colin Kaepernick pass complete short left to Steve Johnson for 16 yards (tackle by T.J. Ward),0.280,1.330
2,2:43,1,10,SFO 36,3,21,Colin Kaepernick sacked by DeMarcus Ware for -9 yards,1.330,-0.430
2,2:00,2,19,SFO 27,3,21,"Penalty on Anthony Davis: False Start, 5 yards (no play)",-0.430,-1.100
2,2:00,2,24,SFO 22,3,21,Colin Kaepernick up the middle for 7 yards (tackle by Kayvon Webster),-1.100,-1.100
2,1:54,2,24,SFO 22,3,21,Timeout #1 by Denver Broncos,-1.100,-0.820
2,1:54,3,17,SFO 29,3,21,Colin Kaepernick pass complete deep left to Brandon Lloyd for 37 yards (tackle by Rahim Moore),-0.820,3.310
2,1:18,1,10,DEN 34,3,21,Colin Kaepernick pass complete short middle to Anquan Boldin for 5 yards (tackle by Bradley Roby),3.310,3.450
2,0:49,2,5,DEN 29,3,21,Colin Kaepernick pass complete deep left to Steve Johnson for 25 yards (tackle by Rahim Moore),3.450,6.280
2,0:17,1,4,DEN 4,9,21,"Colin Kaepernick pass complete short middle to Steve Johnson for 4 yards, touchdown",6.280,7.000
2,0:17,,,DEN 2,10,21,Phil Dawson kicks extra point good,0.000,0.000
2,0:17,,,SFO 35,10,21,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.280
2,0:11,1,10,DEN 20,10,21,Peyton Manning kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,SFO,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,10,21,"Phil Dawson kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,DEN 20,10,21,Ronnie Hillman left guard for 1 yard (tackle by Ian Williams),0.280,-0.130
3,14:33,2,9,DEN 21,10,21,"Peyton Manning pass complete short left to Ronnie Hillman for 4 yards (tackle by Tramaine Brock). Penalty on Orlando Franklin: Unnecessary Roughness, 12 yards",-0.130,-2.190
3,14:04,3,17,DEN 13,10,21,Peyton Manning pass complete short middle to Demaryius Thomas for 14 yards (tackle by Antoine Bethea),-2.190,-1.570
3,13:27,4,3,DEN 27,10,21,"Britton Colquitt punts 46 yards, fair catch by Bruce Ellington. Penalty on Corey Lemonier: Offensive Holding, 10 yards",-1.570,0.060
3,13:18,1,10,SFO 17,10,21,Frank Gore up the middle for 4 yards (tackle by Brandon Marshall),-0.060,0.080
3,12:47,2,6,SFO 21,10,21,Colin Kaepernick pass complete short right to Anquan Boldin for 3 yards (tackle by Lerentee McCray),0.080,-0.370
3,12:03,3,3,SFO 24,10,21,Colin Kaepernick pass incomplete deep right intended for Steve Johnson is intercepted by Aqib Talib at SFO-43 and returned for 3 yards,-0.370,-2.920
3,11:55,1,10,SFO 40,10,27,"Peyton Manning pass complete deep right to Demaryius Thomas for 40 yards, touchdown",2.920,7.000
3,11:55,,,SFO 2,10,28,Brandon McManus kicks extra point good,0.000,0.000
3,11:55,,,DEN 35,10,28,"Brandon McManus kicks off 68 yards, returned by Bruce Ellington for 33 yards (tackle by Kayvon Webster)",0.000,-0.940
3,11:41,1,10,SFO 30,10,28,Colin Kaepernick pass complete short left to Anquan Boldin for -1 yards (tackle by Chris Harris),0.940,0.260
3,11:02,2,11,SFO 29,10,28,Colin Kaepernick pass incomplete deep middle intended for Brandon Lloyd,0.260,-0.430
3,10:55,3,11,SFO 29,10,28,Colin Kaepernick sacked by Malik Jackson for -9 yards,-0.430,-2.030
3,10:19,4,20,SFO 20,10,28,"Andy Lee punts 71 yards, muffed catch by Isaiah Burse, recovered by Isaiah Burse and returned for 5 yards (tackle by Dan Skuta)",-2.030,0.280
3,10:05,1,10,DEN 14,10,28,Peyton Manning pass complete deep left to Demaryius Thomas for 49 yards (tackle by Perrish Cox),-0.280,3.120
3,9:37,1,10,SFO 37,10,28,Peyton Manning pass incomplete short left intended for Andre Caldwell,3.120,2.570
3,9:33,2,10,SFO 37,10,34,"Ronnie Hillman left guard for 37 yards, touchdown",2.570,7.000
3,9:33,,,SFO 2,10,35,Brandon McManus kicks extra point good,0.000,0.000
3,9:33,,,DEN 35,10,35,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
3,9:23,1,10,SFO 20,10,35,Frank Gore up the middle for no gain (tackle by Brandon Marshall),0.280,-0.270
3,9:04,2,10,SFO 20,10,35,Colin Kaepernick pass incomplete deep right intended for Anquan Boldin,-0.270,-0.960
3,8:58,3,10,SFO 20,10,35,Colin Kaepernick pass incomplete short middle intended for Vernon Davis (defended by Quinton Carter),-0.960,-2.030
3,8:54,4,10,SFO 20,10,35,"Andy Lee punts 53 yards, fair catch by Isaiah Burse",-2.030,-0.740
3,8:44,1,10,DEN 27,10,35,Peyton Manning pass complete short left to Ronnie Hillman for 11 yards (tackle by Dan Skuta),0.740,1.470
3,8:22,1,10,DEN 38,10,35,Ronnie Hillman left guard for 3 yards (tackle by Antoine Bethea),1.470,1.330
3,7:44,2,7,DEN 41,10,35,Peyton Manning pass complete short left to Julius Thomas for 6 yards (tackle by Michael Wilhoite),1.330,1.420
3,7:04,3,1,DEN 47,10,35,Juwan Thompson up the middle for 9 yards (tackle by Chris Borland),1.420,2.650
3,6:24,1,10,SFO 44,10,35,Juwan Thompson up the middle for 8 yards (tackle by Michael Wilhoite),2.650,3.190
3,6:24,2,2,SFO 36,10,35,Juwan Thompson up the middle for 3 yards (tackle by Dan Skuta),3.190,3.380
3,5:02,1,10,SFO 33,10,35,Peyton Manning pass complete short middle to Wes Welker for 6 yards (tackle by Chris Borland),3.380,3.650
3,4:24,2,4,SFO 27,10,35,Peyton Manning pass complete short right to Julius Thomas for 5 yards (tackle by Ahmad Brooks),3.650,4.110
3,3:51,1,10,SFO 22,10,35,C.J. Anderson left tackle for 5 yards (tackle by Michael Wilhoite),4.110,4.290
3,3:08,2,5,SFO 17,10,35,Peyton Manning pass complete short left to Julius Thomas for 6 yards (tackle by Dontae Johnson),4.290,4.840
3,2:28,1,10,SFO 11,10,35,C.J. Anderson up the middle for 4 yards (tackle by Quinton Dial),4.840,4.890
3,1:47,2,6,SFO 7,10,35,"Peyton Manning pass incomplete short middle intended for Emmanuel Sanders. Penalty on Chris Borland: Defensive Pass Interference, 6 yards (no play)",4.890,6.970
3,1:41,1,1,SFO 1,10,41,"Ronnie Hillman right guard for 1 yard, touchdown",6.970,7.000
3,1:41,,,SFO 2,10,42,Brandon McManus kicks extra point good,0.000,0.000
3,1:41,,,DEN 35,10,42,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
3,1:36,1,10,SFO 20,10,42,Colin Kaepernick pass incomplete deep left intended for Brandon Lloyd,0.280,-0.270
3,1:31,2,10,SFO 20,10,42,Carlos Hyde up the middle for 10 yards (tackle by Brandon Marshall),-0.270,0.940
3,0:55,1,10,SFO 30,10,42,Colin Kaepernick pass complete short middle to Vernon Davis for 7 yards (tackle by Brandon Marshall),0.940,1.340
3,0:26,2,3,SFO 37,10,42,Colin Kaepernick pass complete short right to Steve Johnson for 3 yards (tackle by Chris Harris),1.340,1.600
Quarter,Time,Down,ToGo,Location,SFO,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SFO 40,10,42,Carlos Hyde left end for -4 yards (tackle by Nate Irving),1.600,0.510
4,14:26,2,14,SFO 36,10,42,Colin Kaepernick pass incomplete short middle intended for Vernon Davis (defended by Brandon Marshall),0.510,-0.160
4,14:21,3,14,SFO 36,10,42,Colin Kaepernick sacked by Von Miller for -10 yards,-0.160,-1.630
4,13:46,4,24,SFO 26,10,42,"Andy Lee punts 47 yards, returned by Isaiah Burse for 8 yards (tackle by Craig Dahl)",-1.630,-1.270
4,13:32,1,10,DEN 35,10,42,Ronnie Hillman right guard for 3 yards (tackle by Justin Smith),1.270,1.130
4,12:55,2,7,DEN 38,10,42,Ronnie Hillman left tackle for 4 yards (tackle by Michael Wilhoite),1.130,0.960
4,12:10,3,3,DEN 42,10,42,Brock Osweiler up the middle for 2 yards (tackle by Ian Williams),0.960,-0.460
4,11:32,4,1,DEN 44,10,42,"Britton Colquitt punts 43 yards, fair catch by Bruce Ellington",-0.460,0.320
4,11:22,1,10,SFO 13,10,42,Colin Kaepernick pass complete short middle to Anquan Boldin for 7 yards (tackle by Brandon Marshall),-0.320,0.220
4,10:52,2,3,SFO 20,10,42,Colin Kaepernick pass incomplete short left intended for Steve Johnson (defended by Sylvester Williams),0.220,-0.590
4,10:48,3,3,SFO 20,10,42,"Colin Kaepernick pass complete short left to Carlos Hyde for -3 yards (tackle by Brandon Marshall). Penalty on Brandon Marshall: Face Mask (15 Yards), 15 yards (no play)",-0.590,1.270
4,10:19,1,10,SFO 35,10,42,Colin Kaepernick left end for 5 yards (tackle by T.J. Ward),1.270,1.400
4,9:44,2,5,SFO 40,10,42,Carlos Hyde up the middle for 9 yards (tackle by Quinton Carter),1.400,2.190
4,9:08,1,10,SFO 49,10,42,Colin Kaepernick pass complete short middle to Anquan Boldin for 15 yards (tackle by Bradley Roby),2.190,3.180
4,8:33,1,10,DEN 36,10,42,Colin Kaepernick pass complete short left to Carlos Hyde for 1 yard (tackle by Quinton Carter and Kayvon Webster),3.180,2.770
4,7:52,2,9,DEN 35,10,42,Colin Kaepernick pass complete short right to Michael Crabtree for 11 yards (tackle by Bradley Roby),2.770,3.970
4,7:15,1,10,DEN 24,10,42,Bruce Miller up the middle for 2 yards (tackle by Derek Wolfe),3.970,3.700
4,6:39,2,8,DEN 22,10,42,Colin Kaepernick pass complete short left to Brandon Lloyd for 14 yards (tackle by Omar Bolden),3.700,5.370
4,5:56,1,8,DEN 8,10,42,"Colin Kaepernick pass complete short middle to Michael Crabtree for 8 yards. Penalty on Anquan Boldin: Offensive Pass Interference, 10 yards (no play)",5.370,4.240
4,5:52,1,18,DEN 18,10,42,Colin Kaepernick pass complete short left to Carlos Hyde for 7 yards (tackle by Omar Bolden),4.240,4.020
4,5:23,2,11,DEN 11,10,42,Colin Kaepernick sacked by DeMarcus Ware for -10 yards. Penalty on Joe Staley: Illegal Formation (Declined),4.020,2.210
4,5:00,3,21,DEN 21,10,42,Colin Kaepernick pass complete short middle to Michael Crabtree for 7 yards (tackle by Brandon Marshall),2.210,2.510
4,4:18,4,14,DEN 14,10,42,Colin Kaepernick up the middle for 6 yards (tackle by Bradley Roby),2.510,0.380
4,4:10,1,10,DEN 8,10,42,Juwan Thompson up the middle for 5 yards (tackle by Demarcus Dobbs),-0.380,-0.410
4,3:25,2,5,DEN 13,10,42,"Juwan Thompson right end for 8 yards (tackle by Corey Lemonier and Chris Borland). Penalty on Isaiah Burse: Illegal Shift, 5 yards (no play)",-0.410,-0.780
4,3:19,2,10,DEN 8,10,42,Juwan Thompson right tackle for 2 yards,-0.780,-0.780
4,3:12,2,10,DEN 8,10,42,Timeout #1 by San Francisco 49ers,-0.780,-1.190
4,3:12,3,8,DEN 10,10,42,Brock Osweiler pass incomplete deep right intended for Isaiah Burse,-1.190,-2.490
4,2:58,4,8,DEN 10,10,42,"Britton Colquitt punts 39 yards, returned by Bruce Ellington for 4 yards (tackle by Omar Bolden)",-2.490,-2.590
4,2:49,1,10,DEN 45,10,42,Blaine Gabbert pass incomplete short left intended for Kassim Osgood,2.590,2.040
4,2:46,2,10,DEN 45,10,42,Blaine Gabbert pass complete short right to Derek Carrier for 9 yards (tackle by Bradley Roby and Lerentee McCray),2.040,2.540
4,2:12,3,1,DEN 36,10,42,Derek Carrier up the middle for 2 yards (tackle by Sylvester Williams),2.540,3.310
4,2:00,1,10,DEN 34,10,42,Blaine Gabbert pass incomplete short right intended for Derek Carrier,3.310,2.770
4,1:55,2,10,DEN 34,10,42,Blaine Gabbert up the middle for 5 yards (tackle by Sylvester Williams),2.770,2.740
4,1:25,3,5,DEN 29,10,42,Blaine Gabbert pass incomplete deep right intended for Bruce Ellington,2.740,1.540
4,1:19,4,5,DEN 29,10,42,Blaine Gabbert pass complete short left to Bruce Ellington for 9 yards (tackle by Omar Bolden),1.540,1.540
4,1:19,4,5,DEN 29,10,42,Timeout #1 by Denver Broncos,1.540,4.240
4,1:09,1,10,DEN 20,10,42,Blaine Gabbert pass incomplete deep left intended for Derek Carrier,4.240,3.690
4,1:04,2,10,DEN 20,16,42,"Blaine Gabbert pass complete deep right to Bruce Ellington for 20 yards, touchdown",3.690,7.000
4,1:00,2,10,DEN 20,16,42,Timeout #2 by San Francisco 49ers,3.690,0.000
4,1:04,,,DEN 2,17,42,Phil Dawson kicks extra point good,0.000,0.000
4,1:04,,,SFO 35,17,42,"Phil Dawson kicks off 54 yards, returned by Isaiah Burse for 7 yards (tackle by Demarcus Dobbs)",0.000,-0.040
4,0:55,1,10,DEN 18,17,42,Brock Osweiler kneels for -1 yards,0.040,-0.650
4,0:31,2,11,DEN 17,17,42,Brock Osweiler kneels for -1 yards,-0.650,-1.500
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
