Unnamed: 0,BUF,NYJ
First Downs,19,14
Rush-Yds-TDs,35-108-0,23-100-0
Cmp-Att-Yd-TD-INT,17-26-243-1-1,18-32-173-0-2
Sacked-Yards,1-4,3-19
Net Pass Yards,239,154
Total Yards,347,254
Fumbles-Lost,0-0,3-1
Turnovers,1,3
Penalties-Yards,7-50,2-25
Third Down Conv.,4-13,3-12
Fourth Down Conv.,0-0,0-0
Time of Possession,32:31,27:29
