Quarter,Time,Tm,Detail,BUF,NYJ
1.0,4:53,Bills,Rian Lindell 30 yard field goal,3,0
2.0,10:28,Jets,Mike Nugent 27 yard field goal,3,3
4.0,10:06,Bills,Rian Lindell 40 yard field goal,6,3
,3:38,Bills,Lee Evans 85 yard pass from J.P. Losman (Rian Lindell kick),13,3
