Quarter,Time,Tm,Detail,ATL,DAL
1.0,8:40,Falcons,Jay Feely 37 yard field goal,3,0
,4:25,Cowboys,Aveion Cason 63 yard rush (Billy Cundiff kick),3,7
3.0,11:23,Falcons,Warrick Dunn 7 yard pass from Doug Johnson (Jay Feely kick),10,7
,4:02,Falcons,Alge Crumpler 41 yard pass from Doug Johnson (Jay Feely kick),17,7
4.0,12:44,Falcons,Jay Feely 31 yard field goal,20,7
,11:37,Cowboys,Joey Galloway 49 yard pass from Quincy Carter (Billy Cundiff kick failed),20,13
,3:11,Falcons,Doug Johnson 1 yard rush (Jay Feely kick),27,13
