Unnamed: 0,ATL,DAL
First Downs,17,16
Rush-Yds-TDs,30-98-1,24-149-1
Cmp-Att-Yd-TD-INT,16-27-228-2-1,15-32-268-1-1
Sacked-Yards,2-8,3-14
Net Pass Yards,220,254
Total Yards,318,403
Fumbles-Lost,1-0,2-1
Turnovers,1,2
Penalties-Yards,4-31,7-49
Third Down Conv.,4-11,5-13
Fourth Down Conv.,0-0,0-1
Time of Possession,33:00,27:00
