Quarter,Time,Down,ToGo,Location,ATL,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"Toby Gowin kicks off 69 yards, returned by Allen Rossum for 24 yards (tackle by Tony Dixon)",0.000,0.610
1,14:55,1,10,ATL 25,0,0,Warrick Dunn up the middle for 4 yards (tackle by Alshermond Singleton),0.610,0.600
1,14:18,2,6,ATL 29,0,0,Warrick Dunn left tackle for 3 yards (tackle by Greg Ellis),0.600,0.300
1,13:36,3,3,ATL 32,0,0,Doug Johnson pass complete to Peerless Price for 8 yards (tackle by Mario Edwards),0.300,1.600
1,12:56,1,10,ATL 40,0,0,Warrick Dunn right guard for 7 yards (tackle by Randal Williams),1.600,2.000
1,12:16,2,3,ATL 47,0,0,Warrick Dunn right tackle for 6 yards (tackle by Dat Nguyen and Dexter Coakley),2.000,2.460
1,11:35,1,10,DAL 47,0,0,Doug Johnson pass complete to Alge Crumpler for 20 yards (tackle by Darren Woodson),2.460,3.780
1,10:51,1,10,DAL 27,0,0,Warrick Dunn right guard for 3 yards (tackle by Alshermond Singleton),3.780,3.640
1,10:11,2,7,DAL 24,0,0,Quentin McCord right end for 1 yard (tackle by Dat Nguyen and Dexter Coakley),3.640,3.070
1,9:30,3,6,DAL 23,0,0,"Doug Johnson pass complete to Quentin McCord for 23 yards. Penalty on Quentin McCord: Offensive Pass Interference, 11 yards (no play)",3.070,1.620
1,9:24,3,17,DAL 34,0,0,Doug Johnson pass complete to Alge Crumpler for 15 yards (tackle by Dexter Coakley),1.620,2.310
1,8:42,4,2,DAL 19,3,0,Jay Feely 37 yard field goal good,2.310,3.000
1,,,,ATL 30,3,0,"Jay Feely kicks off 74 yards, touchback",0.000,0.280
1,8:40,1,10,DAL 20,3,0,Quincy Carter pass incomplete intended for Terry Glenn,0.280,-0.270
1,8:35,2,10,DAL 20,3,0,Troy Hambrick right tackle for 4 yards (tackle by Chris Draft),-0.270,-0.430
1,7:55,3,6,DAL 24,3,0,Quincy Carter pass incomplete intended for Jason Witten (defended by Kevin McCadam),-0.430,-1.770
1,7:51,4,6,DAL 24,3,0,"Toby Gowin punts 45 yards, returned by Allen Rossum for no gain. Penalty on Kevin Mathis: Offensive Holding, 10 yards",-1.770,-0.340
1,7:40,1,10,ATL 21,3,0,T.J. Duckett right guard for -2 yards (tackle by Greg Ellis),0.340,-0.530
1,7:02,2,12,ATL 19,3,0,Doug Johnson pass complete to Justin Griffith for 7 yards (tackle by Terence Newman),-0.530,-0.230
1,6:23,3,5,ATL 26,3,0,Doug Johnson sacked by La'Roi Glover for -3 yards,-0.230,-1.830
1,5:54,4,8,ATL 23,3,0,"Chris Mohr punts 48 yards, fair catch by Reggie Swinton",-1.830,-0.870
1,5:46,1,10,DAL 29,3,0,Troy Hambrick left tackle for 6 yards (tackle by Tyrone Williams),0.870,1.140
1,5:13,2,4,DAL 35,3,0,Troy Hambrick up the middle for 2 yards (tackle by Travis Hall),1.140,0.700
1,4:28,3,2,DAL 37,3,6,"Aveion Cason up the middle for 63 yards, touchdown",0.700,7.000
1,,,,ATL 2,3,7,Billy Cundiff kicks extra point good,0.000,0.000
1,,,,DAL 30,3,7,"Toby Gowin kicks off 70 yards, returned by Allen Rossum for 23 yards (tackle by Randal Williams)",0.000,0.480
1,4:20,1,10,ATL 23,3,7,"Penalty on Alge Crumpler: False Start, 5 yards (no play)",0.480,0.000
1,4:20,1,15,ATL 18,3,7,Warrick Dunn up the middle for no gain (tackle by Ebenezer Ekuban and Greg Ellis),0.000,-0.840
1,3:43,2,15,ATL 18,3,7,Doug Johnson pass incomplete intended for Brian Finneran is intercepted by Darren Woodson at DAL-44 and returned for -2 yards (tackle by Brian Finneran),-0.840,-1.730
1,3:35,1,10,DAL 42,3,7,Richie Anderson left end for 2 yards (tackle by Keith Brooking),1.730,1.460
1,2:53,2,8,DAL 44,3,7,"Quincy Carter pass complete to Joey Galloway for 48 yards (tackle by Keion Carpenter). Penalty on Daniel Campbell: Illegal Shift, 5 yards (no play)",1.460,0.780
1,2:28,2,13,DAL 39,3,7,Richie Anderson up the middle for -3 yards (tackle by Ed Jasper),0.780,-0.290
1,1:51,3,16,DAL 36,3,7,Quincy Carter pass complete to Troy Hambrick for 8 yards (tackle by Keith Brooking),-0.290,-0.460
1,1:23,4,8,DAL 44,3,7,Toby Gowin punts 37 yards,-0.460,-0.150
1,1:13,1,10,ATL 19,3,7,Doug Johnson pass incomplete intended for Justin Griffith,0.150,-0.390
1,1:09,2,10,ATL 19,3,7,"Doug Johnson pass incomplete intended for Peerless Price is intercepted by Dat Nguyen at ATL-28 and returned for 10 yards. Penalty on Mario Edwards: Defensive Pass Interference, 10 yards (no play)",-0.390,0.870
1,0:57,1,10,ATL 29,3,7,Quentin McCord right end for 1 yard (tackle by Darren Woodson),0.870,0.460
1,0:14,2,9,ATL 30,3,7,Doug Johnson pass incomplete intended for Brian Kozlowski,0.460,-0.230
1,0:09,3,9,ATL 30,3,7,Doug Johnson pass incomplete intended for Justin Griffith. Penalty on Travis Claridge: Offensive Holding (Declined),-0.230,-1.370
1,0:04,4,9,ATL 30,3,7,"Chris Mohr punts 45 yards, returned by Reggie Swinton for no gain",-1.370,-0.610
Quarter,Time,Down,ToGo,Location,ATL,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 25,3,7,Quincy Carter pass incomplete intended for Troy Hambrick,0.610,0.060
2,14:57,2,10,DAL 25,3,7,Troy Hambrick up the middle for -1 yards (tackle by Ed Jasper and Matt Stewart),0.060,-0.760
2,14:12,3,11,DAL 24,3,7,Quincy Carter pass complete to Joey Galloway for 26 yards (tackle by Keion Carpenter),-0.760,2.260
2,13:26,1,10,ATL 50,3,7,Quincy Carter pass incomplete intended for Terry Glenn (defended by Ray Buchanan),2.260,1.710
2,13:20,2,10,ATL 50,3,7,"Quincy Carter for no gain. Quincy Carter fumbles, recovered by Joey Galloway at DAL-36",1.710,-0.820
2,12:30,3,24,DAL 36,3,7,Quincy Carter pass complete to Aveion Cason for 6 yards (tackle by Ed Jasper),-0.820,-0.590
