Unnamed: 0,ATL,NOR
First Downs,10,19
Rush-Yds-TDs,23-117-0,34-146-1
Cmp-Att-Yd-TD-INT,12-31-137-0-0,20-28-191-0-0
Sacked-Yards,5-25,1-11
Net Pass Yards,112,180
Total Yards,229,326
Fumbles-Lost,2-0,0-0
Turnovers,0,0
Penalties-Yards,5-43,4-40
Third Down Conv.,3-16,4-12
Fourth Down Conv.,2-3,0-0
Time of Possession,27:20,32:40
