Quarter,Time,Tm,Detail,LAC,MIA
1.0,12:54,Dolphins,Salvon Ahmed 1 yard rush (Jason Sanders kick),0,7
,0:58,Dolphins,Jakeem Grant 3 yard pass from Tua Tagovailoa (Jason Sanders kick),0,14
2.0,4:25,Chargers,Justin Herbert 1 yard rush (Michael Badgley kick),7,14
,0:24,Dolphins,Jason Sanders 50 yard field goal,7,17
3.0,7:02,Chargers,Hunter Henry 2 yard pass from Justin Herbert (Michael Badgley kick),14,17
,2:30,Dolphins,Jason Sanders 35 yard field goal,14,20
4.0,11:38,Dolphins,Durham Smythe 2 yard pass from Tua Tagovailoa (pass failed),14,26
,3:59,Dolphins,Jason Sanders 49 yard field goal,14,29
,1:57,Chargers,Keenan Allen 13 yard pass from Justin Herbert (Michael Badgley kick),21,29
