Quarter,Time,Down,ToGo,Location,LAC,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAC 25,0,0,Kalen Ballage up the middle for 3 yards (tackle by Brandon Jones),0.610,0.470
1,14:28,2,7,LAC 28,0,0,Justin Herbert sacked by Nik Needham for -13 yards,0.470,-2.350
1,13:46,3,20,LAC 15,0,0,Justin Herbert pass complete short left to Jalen Guyton for 6 yards (tackle by Shaq Lawson),-2.350,-1.960
1,13:06,4,14,LAC 21,0,0,"Ty Long punts blocked by Andrew Van Ginkel, recovered by Jamal Perry",-1.960,-6.970
1,12:58,1,1,LAC 1,0,6,"Salvon Ahmed left guard for 1 yard, touchdown",6.970,7.000
1,12:54,,,LAC 15,0,7,Jason Sanders kicks extra point good,0.000,0.000
1,12:54,,,MIA 35,0,7,"Jason Sanders kicks off 64 yards, returned by Joe Reed for 13 yards (tackle by Jamal Perry). Penalty on Alohi Gilman: Illegal Block Above the Waist, 7 yards",0.000,-0.380
1,12:48,1,10,LAC 7,0,7,Justin Herbert pass complete short right to Keenan Allen for 11 yards (tackle by Eric Rowe),-0.380,0.040
1,12:22,1,10,LAC 18,0,7,Kalen Ballage left guard for 2 yards (tackle by Zach Sieler and Raekwon Davis),0.040,-0.130
1,11:44,2,8,LAC 20,0,7,Justin Herbert left tackle for 7 yards (tackle by Brandon Jones),-0.130,-0.020
1,11:00,3,1,LAC 27,0,7,Kalen Ballage up the middle for 4 yards (tackle by Elandon Roberts and Andrew Van Ginkel),-0.020,1.000
1,10:21,1,10,LAC 31,0,7,Justin Herbert pass complete deep left to Hunter Henry for 17 yards (tackle by Kyle Van Noy),1.000,2.130
1,9:42,1,10,LAC 48,0,7,Joshua Kelley right guard for 3 yards (tackle by Shaq Lawson and Raekwon Davis),2.130,1.990
1,8:57,2,7,MIA 49,0,7,Kalen Ballage right tackle for 4 yards (tackle by Kyle Van Noy and Andrew Van Ginkel),1.990,1.820
1,8:13,3,3,MIA 45,0,7,Justin Herbert pass incomplete short left intended for Keenan Allen,1.820,0.270
1,8:10,4,3,MIA 45,0,7,"Ty Long punts 33 yards, fair catch by Jakeem Grant at MIA-12",0.270,0.350
