Unnamed: 0,JAX,TEN
First Downs,13,11
Rush-Yds-TDs,24-83-0,39-116-0
Cmp-Att-Yd-TD-INT,15-34-158-0-2,12-21-134-1-0
Sacked-Yards,2-12,3-18
Net Pass Yards,146,116
Total Yards,229,232
Fumbles-Lost,4-2,1-1
Turnovers,4,1
Penalties-Yards,6-41,2-15
Third Down Conv.,6-16,3-16
Fourth Down Conv.,0-0,1-1
Time of Possession,26:33,33:27
