Unnamed: 0,SEA,SFO
First Downs,14,23
Rush-Yds-TDs,28-105-2,29-143-0
Cmp-Att-Yd-TD-INT,16-23-149-2-0,23-41-322-3-1
Sacked-Yards,3-20,2-8
Net Pass Yards,129,314
Total Yards,234,457
Fumbles-Lost,3-0,1-1
Turnovers,0,2
Penalties-Yards,5-27,8-78
Third Down Conv.,2-10,2-14
Fourth Down Conv.,0-0,3-4
Time of Possession,28:20,31:40
