Quarter,Time,Tm,Detail,SEA,SFO
1.0,9:35,49ers,Ross Dwelley 21 yard pass from Jimmy Garoppolo (Mitch Wishnowsky kick),0,7
2.0,1:54,Seahawks,D.K. Metcalf 12 yard pass from Russell Wilson (Jason Myers kick),7,7
3.0,5:22,Seahawks,Russell Wilson 16 yard rush (Jason Myers kick),14,7
,4:32,Seahawks,Freddie Swain 13 yard pass from Russell Wilson (Jason Myers kick),21,7
,2:10,49ers,Deebo Samuel 76 yard pass from Trey Lance (Mitch Wishnowsky kick failed),21,13
4.0,12:07,Seahawks,Alex Collins 14 yard rush (Jason Myers kick),28,13
,1:20,49ers,Deebo Samuel 8 yard pass from Trey Lance (Trey Lance run),28,21
