Unnamed: 0,CIN,IND
First Downs,19,16
Rush-Yds-TDs,20-72-0,22-76-1
Cmp-Att-Yd-TD-INT,31-42-292-2-3,20-36-185-0-0
Sacked-Yards,3-23,2-5
Net Pass Yards,269,180
Total Yards,341,256
Fumbles-Lost,2-2,0-0
Turnovers,5,0
Penalties-Yards,4-38,5-45
Third Down Conv.,5-13,5-14
Fourth Down Conv.,1-1,0-0
Time of Possession,34:11,25:49
