Quarter,Time,Tm,Detail,CIN,IND
1.0,3:25,Colts,Adam Vinatieri 28 yard field goal,0,3
,2:28,Colts,Kelvin Hayden 31 yard interception return (Adam Vinatieri kick),0,10
2.0,14:19,Colts,Javarris James 3 yard rush (Adam Vinatieri kick),0,17
,9:51,Bengals,Mike Nugent 27 yard field goal,3,17
,1:06,Bengals,Chad Johnson 5 yard pass from Carson Palmer (Mike Nugent kick),10,17
,0:00,Colts,Adam Vinatieri 47 yard field goal,10,20
4.0,10:01,Colts,Adam Vinatieri 23 yard field goal,10,23
,2:35,Bengals,Jermaine Gresham 19 yard pass from Carson Palmer (Mike Nugent kick),17,23
