Quarter,Time,Tm,Detail,BUF,ARI
1.0,9:53,Cardinals,Zane Gonzalez 23 yard field goal,0,3
,6:23,Bills,Josh Allen 12 yard pass from Isaiah McKenzie (Tyler Bass kick),7,3
2.0,14:02,Bills,Tyler Bass 54 yard field goal,10,3
,8:45,Cardinals,Zane Gonzalez 42 yard field goal,10,6
,5:45,Bills,Tyler Bass 55 yard field goal,13,6
,1:24,Cardinals,Zane Gonzalez 21 yard field goal,13,9
,0:00,Bills,Tyler Bass 58 yard field goal,16,9
3.0,9:52,Bills,Cole Beasley 22 yard pass from Josh Allen (Tyler Bass kick),23,9
,5:44,Cardinals,Kyler Murray 1 yard rush (Zane Gonzalez kick),23,16
,3:05,Cardinals,Zane Gonzalez 45 yard field goal,23,19
,0:08,Cardinals,Kyler Murray 15 yard rush (Zane Gonzalez kick),23,26
4.0,0:34,Bills,Stefon Diggs 21 yard pass from Josh Allen (Tyler Bass kick),30,26
,0:02,Cardinals,DeAndre Hopkins 43 yard pass from Kyler Murray (run failed),30,32
