Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
A.J. Klein,BUF,0,4,4,100.0%,59,14.8,14.8,0,118.7,9.0,36,23,7,0,0,1.0,1,11,2,15.4%
Taron Johnson,BUF,0,6,3,50.0%,19,6.3,3.2,0,56.9,2.5,3,16,2,1,0,1.0,2,9,3,25.0%
Tre'Davious White,BUF,0,5,3,60.0%,49,16.3,9.8,1,132.5,13.0,45,4,0,0,0,0.0,0,3,1,25.0%
Tremaine Edmunds,BUF,0,4,3,75.0%,47,15.7,11.8,0,113.5,12.0,28,19,6,0,0,0.0,0,10,2,16.7%
Dane Jackson,BUF,0,6,3,50.0%,27,9.0,4.5,0,62.5,6.0,13,14,0,0,0,0.0,0,8,1,11.1%
Siran Neal,BUF,0,2,2,100.0%,16,8.0,8.0,0,100.0,6.5,13,3,1,0,0,0.0,0,2,0,0.0%
Trent Murphy,BUF,0,2,2,100.0%,16,8.0,8.0,0,100.0,6.5,13,3,0,0,0,0.0,0,4,1,20.0%
Justin Zimmer,BUF,0,0,0,,,,,,,,,,0,0,0,1.0,1,1,1,50.0%
Jerry Hughes,BUF,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,1,100.0%
Mario Addison,BUF,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%
Jordan Poyer,BUF,1,0,0,,,,,,,,,,7,0,0,0.0,0,4,2,33.3%
Micah Hyde,BUF,0,1,0,0.0%,,,0.0,,39.6,7.0,,,0,0,0,0.0,0,7,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Byron Murphy,ARI,0,8,7,87.5%,65,9.3,8.1,0,100.5,7.6,41,24,13,0,1,0.0,1,6,0,0.0%
Dre Kirkpatrick,ARI,1,8,5,62.5%,66,13.2,8.3,0,49.0,13.0,27,39,0,0,0,0.0,0,3,1,25.0%
Patrick Peterson,ARI,1,5,4,80.0%,45,11.3,9.0,1,104.2,13.0,44,1,0,0,0,0.0,0,2,1,33.3%
Budda Baker,ARI,0,4,3,75.0%,29,9.7,7.3,1,134.4,8.3,24,5,11,1,0,0.0,1,9,0,0.0%
Jalen Thompson,ARI,0,3,3,100.0%,17,5.7,5.7,0,90.3,1.0,3,14,1,0,0,0.0,0,7,0,0.0%
Haason Reddick,ARI,0,2,2,100.0%,0,0.0,0.0,0,79.2,-4.0,-8,8,13,3,0,0.0,3,4,0,0.0%
Isaiah Simmons,ARI,0,4,2,50.0%,33,16.5,8.3,0,78.1,7.8,2,31,5,0,1,0.0,1,4,1,20.0%
Jordan Hicks,ARI,0,3,2,66.7%,10,5.0,3.3,0,71.5,0.3,4,6,13,0,0,0.0,0,8,0,0.0%
Markus Golden,ARI,0,2,1,50.0%,10,10.0,5.0,0,64.6,0.5,-4,14,13,0,1,0.0,1,1,0,0.0%
Trevon Coley,ARI,0,1,1,100.0%,-3,-3.0,-3.0,0,79.2,-6.0,-6,3,0,0,1,0.0,1,3,0,0.0%
De'Vondre Campbell,ARI,0,2,1,50.0%,5,5.0,2.5,0,56.2,4.0,4,1,7,1,0,0.0,1,3,1,25.0%
Kylie Fitts,ARI,0,1,1,100.0%,7,7.0,7.0,0,95.8,4.0,4,3,4,0,0,0.0,0,1,0,0.0%
Angelo Blackson,ARI,0,0,0,,,,,,,,,,0,1,0,0.0,1,5,0,0.0%
Johnathan Joseph,ARI,0,1,0,0.0%,,,0.0,,39.6,12.0,,,2,0,0,0.0,0,1,0,0.0%
