Quarter,Time,Down,ToGo,Location,BUF,ARI,Detail,EPB,EPA
1,4:23,1,10,BUF 33,7,3,Josh Allen pass complete short middle to John Brown for 7 yards (tackle by Dre Kirkpatrick),1.140,1.540
1,3:40,2,3,BUF 40,7,3,Zack Moss up the middle for 2 yards (tackle by Budda Baker),1.540,1.090
1,3:15,3,1,BUF 42,7,3,Josh Allen up the middle for 1 yard (tackle by Angelo Blackson),1.090,1.800
1,2:36,1,10,BUF 43,7,3,Josh Allen pass complete short middle to Stefon Diggs for 5 yards (tackle by De'Vondre Campbell and Haason Reddick),1.800,1.930
1,1:55,2,5,BUF 48,7,3,Josh Allen right end for -1 yards (tackle by Haason Reddick),1.930,1.090
1,1:08,3,6,BUF 47,7,3,Josh Allen pass complete short right to John Brown for 11 yards (tackle by Budda Baker),1.090,2.790
1,0:21,1,10,ARI 42,7,3,Zack Moss up the middle for -3 yards (tackle by De'Vondre Campbell),2.790,1.840
Quarter,Time,Down,ToGo,Location,BUF,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,13,ARI 45,7,3,Josh Allen pass complete short middle to Cole Beasley for 9 yards (tackle by Byron Murphy and Jordan Hicks),1.840,2.340
2,14:13,3,4,ARI 36,7,3,Josh Allen pass incomplete deep right intended for Devin Singletary (defended by Patrick Peterson),2.340,0.890
2,14:07,4,4,ARI 36,10,3,Tyler Bass 54 yard field goal good,0.890,3.000
2,14:02,,,BUF 35,10,3,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
2,14:02,1,10,ARI 25,10,3,Kyler Murray pass complete deep right to DeAndre Hopkins for 28 yards (tackle by Taron Johnson),0.610,2.460
2,13:29,1,10,BUF 47,10,3,"Penalty on Kenyan Drake: False Start, 5 yards (no play)",2.460,2.130
2,13:10,1,15,ARI 48,10,3,"Penalty on J.R. Sweezy: False Start, 5 yards (no play)",2.130,1.800
2,12:53,1,20,ARI 43,10,3,Kyler Murray pass incomplete short right intended for DeAndre Hopkins,1.800,0.560
2,12:47,2,20,ARI 43,10,3,Kyler Murray left tackle for 7 yards (tackle by Tremaine Edmunds),0.560,0.830
2,12:12,3,13,ARI 50,10,3,"Penalty on Jerry Hughes: Neutral Zone Infraction, 5 yards (no play)",0.830,1.490
2,11:46,3,8,BUF 45,10,3,Kyler Murray pass complete short middle to Dan Arnold for 9 yards (tackle by Trent Murphy),1.490,3.180
2,11:15,1,10,BUF 36,10,3,Kyler Murray pass complete short right to Christian Kirk for 5 yards (tackle by Tremaine Edmunds),3.180,3.310
2,10:52,2,5,BUF 31,10,3,Chase Edmonds up the middle for 5 yards (tackle by Trent Murphy),3.310,3.840
2,10:10,1,10,BUF 26,10,3,Kenyan Drake left end for 1 yard (tackle by Tremaine Edmunds),3.840,3.430
2,10:03,2,9,BUF 25,10,3,Kyler Murray pass complete short right to Larry Fitzgerald for 4 yards (tackle by Trent Murphy),3.430,3.270
2,9:30,3,5,BUF 21,10,3,Kyler Murray sacked by A.J. Klein for -3 yards,3.270,1.870
2,8:50,4,8,BUF 24,10,6,Zane Gonzalez 42 yard field goal good,1.870,3.000
2,8:45,,,ARI 35,10,6,"Zane Gonzalez kicks off 69 yards, returned by Andre Roberts for 34 yards (tackle by Jace Whittaker)",0.000,0.940
2,8:40,1,10,BUF 30,10,6,Josh Allen up the middle for 9 yards (tackle by Jordan Hicks),0.940,1.610
2,8:06,2,1,BUF 39,10,6,Devin Singletary up the middle for 13 yards (tackle by Jalen Thompson),1.610,2.390
2,7:30,1,10,ARI 48,10,6,Josh Allen pass incomplete deep left,2.390,1.850
2,7:23,2,10,ARI 48,10,6,Josh Allen pass complete short right to Stefon Diggs for 14 yards (tackle by Patrick Peterson),1.850,3.310
2,6:42,1,10,ARI 34,10,6,Josh Allen pass incomplete short right,3.310,2.770
2,6:36,2,10,ARI 34,10,6,Josh Allen pass incomplete short right intended for Devin Singletary,2.770,2.080
2,6:32,3,10,ARI 34,10,6,"Penalty on BUF: Delay of Game, 5 yards (no play)",2.080,1.420
2,6:32,3,15,ARI 39,10,6,Josh Allen pass complete short middle to Isaiah McKenzie for 2 yards (tackle by Budda Baker),1.420,0.790
2,5:51,4,13,ARI 37,13,6,Tyler Bass 55 yard field goal good,0.790,3.000
2,5:45,,,BUF 35,13,6,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
2,5:45,1,10,ARI 25,13,6,Kyler Murray sacked by Justin Zimmer for no gain,0.610,0.060
2,5:04,2,10,ARI 25,13,6,Kyler Murray pass complete short middle to Kenyan Drake for 9 yards (tackle by Tremaine Edmunds),0.060,0.560
2,4:27,3,1,ARI 34,13,6,Kenyan Drake up the middle for 13 yards (tackle by Jordan Poyer),0.560,2.060
2,4:06,1,10,ARI 47,13,6,Kenyan Drake up the middle for 4 yards (tackle by Ed Oliver and Tremaine Edmunds),2.060,2.060
2,3:36,2,6,BUF 49,13,6,Kyler Murray pass incomplete short right intended for Christian Kirk,2.060,1.360
2,3:32,3,6,BUF 49,13,6,Kyler Murray right end for 1 yard (tackle by A.J. Epenesa),1.360,0.070
2,2:43,4,5,BUF 48,13,6,Kyler Murray pass complete short middle to Dan Arnold for 7 yards (tackle by Siran Neal),0.070,2.850
2,2:23,1,10,BUF 41,13,6,Kyler Murray pass complete short right to Dan Arnold for 11 yards (tackle by Dane Jackson),2.850,3.580
2,2:05,1,10,BUF 30,13,6,Chase Edmonds up the middle for 12 yards (tackle by Taron Johnson and Micah Hyde),3.580,4.370
2,2:00,1,10,BUF 18,13,6,Kenyan Drake up the middle for -4 yards (tackle by Ed Oliver),4.370,3.290
2,1:55,,,,,,Timeout #1 by Buffalo Bills,,
2,1:55,2,14,BUF 22,13,6,Kyler Murray pass complete short left to Chase Edmonds for 1 yard (tackle by Tre'Davious White),3.290,2.740
2,1:48,,,,,,Timeout #2 by Buffalo Bills,,
2,1:48,3,13,BUF 21,13,6,Kyler Murray left end for 13 yards (tackle by Micah Hyde),2.740,5.370
2,1:40,1,8,BUF 8,13,6,Kenyan Drake up the middle for 5 yards (tackle by Micah Hyde and Jordan Poyer),5.370,5.530
2,1:33,,,,,,Timeout #1 by Arizona Cardinals,,
2,1:33,2,3,BUF 3,13,6,Kyler Murray pass incomplete short right intended for Christian Kirk (defended by Jerry Hughes),5.530,4.720
2,1:31,3,3,BUF 3,13,6,Kyler Murray pass incomplete short right intended for Larry Fitzgerald (defended by Jordan Poyer),4.720,3.040
2,1:28,4,3,BUF 3,13,9,Zane Gonzalez 21 yard field goal good,3.040,3.000
2,1:24,,,ARI 35,13,9,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
2,1:24,1,10,BUF 25,13,9,Josh Allen up the middle for 15 yards (tackle by Corey Peters and Budda Baker),0.610,1.600
2,0:57,1,10,BUF 40,13,9,Josh Allen pass complete short right to Cole Beasley for 5 yards (tackle by Jalen Thompson),1.600,1.730
2,0:52,2,5,BUF 45,13,9,Josh Allen pass incomplete deep middle intended for Cole Beasley,1.730,1.030
2,0:46,,,,,,Timeout #2 by Arizona Cardinals,,
2,0:46,3,5,BUF 45,13,9,"Penalty on ARI: Defensive Delay of Game, 5 yards (no play)",1.030,2.260
2,0:46,1,10,BUF 50,13,9,Josh Allen pass complete short left to Cole Beasley for 9 yards (tackle by Byron Murphy),2.260,2.930
2,0:25,2,1,ARI 41,13,9,Josh Allen pass incomplete short right intended for Dawson Knox,2.930,2.210
2,0:20,3,1,ARI 41,13,9,Josh Allen right tackle for no gain (tackle by Jordan Hicks and Trevon Coley),2.210,0.530
2,0:04,,,,,,Timeout #3 by Buffalo Bills,,
2,0:04,4,1,ARI 41,16,9,Tyler Bass 58 yard field goal good,0.530,3.000
Quarter,Time,Down,ToGo,Location,BUF,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,16,9,"Zane Gonzalez kicks off 70 yards, returned by Andre Roberts for 15 yards (tackle by Trent Sherfield)",0.000,-0.380
3,14:56,1,10,BUF 10,16,9,Josh Allen pass complete short left to John Brown for 5 yards (tackle by Budda Baker),-0.380,-0.350
3,14:24,2,5,BUF 15,16,9,Josh Allen pass complete short left to Stefon Diggs for 6 yards (tackle by Dre Kirkpatrick),-0.350,0.340
3,13:55,1,10,BUF 21,16,9,Josh Allen pass complete short middle to Cole Beasley for 13 yards (tackle by Jordan Hicks),0.340,1.200
3,13:26,1,10,BUF 34,16,9,Josh Allen pass complete short left to John Brown for 11 yards (tackle by Jordan Hicks),1.200,1.930
3,12:49,1,10,BUF 45,16,9,Josh Allen pass incomplete short right,1.930,1.380
3,12:40,2,10,BUF 45,16,9,Josh Allen pass incomplete short right,1.380,0.700
3,12:34,,,,,,Timeout #1 by Arizona Cardinals,,
3,12:34,3,10,BUF 45,16,9,Josh Allen pass complete short right to Stefon Diggs for no gain (tackle by Jalen Thompson),0.700,-0.390
3,11:45,4,10,BUF 45,16,9,"Penalty on BUF: Delay of Game, 5 yards (no play)",-0.390,-0.720
3,11:45,4,15,BUF 40,16,9,"Corey Bojorquez punts 60 yards, touchback.",-0.720,-0.280
3,11:35,1,10,ARI 20,16,9,"Kenyan Drake up the middle for 2 yards (tackle by Taron Johnson). Kenyan Drake fumbles (forced by Taron Johnson), recovered by Dane Jackson at ARI-37",0.280,-3.120
3,11:27,1,10,ARI 37,16,9,Zack Moss left tackle for 2 yards (tackle by Angelo Blackson and De'Vondre Campbell),3.120,2.840
3,10:49,2,8,ARI 35,16,9,"Josh Allen pass incomplete deep right intended for Cole Beasley. Penalty on Dre Kirkpatrick: Illegal Use of Hands, 5 yards (no play)",2.840,3.580
3,10:42,1,10,ARI 30,16,9,Zack Moss up the middle for 8 yards (tackle by Budda Baker),3.580,4.110
3,9:59,2,2,ARI 22,22,9,"Josh Allen pass complete deep left to Cole Beasley for 22 yards, touchdown",4.110,7.000
3,9:52,,,ARI 15,23,9,Tyler Bass kicks extra point good,0.000,0.000
3,9:52,,,BUF 35,23,9,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
3,9:52,1,10,ARI 25,23,9,Kenyan Drake up the middle for 3 yards (tackle by A.J. Klein and Ed Oliver),0.610,0.470
3,9:25,2,7,ARI 28,23,9,Kyler Murray pass complete short right to Christian Kirk for 9 yards (tackle by Dane Jackson),0.470,1.400
3,9:02,1,10,ARI 37,23,9,Kyler Murray pass complete deep right to DeAndre Hopkins for 35 yards (tackle by A.J. Klein),1.400,3.710
3,8:46,1,10,BUF 28,23,9,Kyler Murray pass complete short left to Christian Kirk for 6 yards (tackle by Taron Johnson),3.710,3.980
3,8:18,2,4,BUF 22,23,9,"Kyler Murray pass complete short right to Larry Fitzgerald for 10 yards (tackle by Tremaine Edmunds). Penalty on Maxx Williams: Offensive Offside (Declined) . Penalty on Kelvin Beachum: Offensive Holding, 10 yards (no play)",3.980,2.630
3,7:49,2,14,BUF 32,23,9,Kyler Murray pass complete short left to Chase Edmonds for 11 yards (tackle by A.J. Klein),2.630,3.400
3,7:15,3,3,BUF 21,23,9,Kyler Murray pass complete short middle to Christian Kirk for 7 yards (tackle by Trent Murphy),3.400,4.650
3,6:55,1,10,BUF 14,23,9,Chase Edmonds up the middle for 6 yards (tackle by Mario Addison and A.J. Klein),4.650,5.090
3,6:24,2,4,BUF 8,23,9,Kenyan Drake right end for 7 yards (tackle by A.J. Klein),5.090,6.970
3,5:48,1,1,BUF 1,23,15,"Kyler Murray left tackle for 1 yard, touchdown",6.970,7.000
3,5:44,,,BUF 15,23,16,Zane Gonzalez kicks extra point good,0.000,0.000
3,5:44,,,ARI 35,23,16,"Zane Gonzalez kicks off 66 yards, returned by Andre Roberts for 13 yards (tackle by Trent Sherfield)",0.000,-0.350
3,5:39,1,10,BUF 12,23,16,Devin Singletary left tackle for 1 yard (tackle by Angelo Blackson),-0.350,-0.700
3,5:08,2,9,BUF 13,23,16,Josh Allen pass incomplete short middle intended for Cole Beasley,-0.700,-1.300
3,5:02,3,9,BUF 13,23,16,Josh Allen pass complete short right to Stefon Diggs for 5 yards (tackle by Haason Reddick),-1.300,-2.240
3,4:42,4,4,BUF 18,23,16,Corey Bojorquez punts 12 yards out of bounds,-2.240,-3.580
3,4:35,1,10,BUF 30,23,16,Chase Edmonds right tackle for -1 yards (tackle by Tremaine Edmunds and Taron Johnson),3.580,2.900
3,3:58,2,11,BUF 31,23,16,Kyler Murray right end for 4 yards (tackle by A.J. Klein),2.900,2.740
3,3:14,3,7,BUF 27,23,16,Kyler Murray pass incomplete short left intended for Larry Fitzgerald (defended by Micah Hyde),2.740,1.670
3,3:10,4,7,BUF 27,23,19,Zane Gonzalez 45 yard field goal good,1.670,3.000
3,3:05,,,ARI 35,23,19,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
3,3:05,1,10,BUF 25,23,19,Zack Moss up the middle for 14 yards (tackle by Jalen Thompson and Budda Baker),0.610,1.530
3,2:22,1,10,BUF 39,23,19,Zack Moss right end for no gain (tackle by Haason Reddick),1.530,0.990
3,1:49,2,10,BUF 39,23,19,Josh Allen pass complete short right to Devin Singletary for 21 yards (tackle by Jordan Hicks). Penalty on Angelo Blackson: Defensive Offside (Offsetting) Penalty on BUF: Illegal Block Above the Waist (Offsetting) (no play),0.990,0.990
3,1:26,2,10,BUF 39,23,19,Josh Allen pass deep middle intended for Dawson Knox is intercepted by Patrick Peterson at ARI-37 and returned for 7 yards,0.990,-1.860
3,1:13,1,10,ARI 44,23,19,Kyler Murray left end for 28 yards (tackle by Jordan Poyer),1.860,3.710
3,0:58,1,10,BUF 28,23,19,Kenyan Drake up the middle for 4 yards (tackle by Ed Oliver),3.710,3.710
3,0:18,2,6,BUF 24,23,19,"Kyler Murray pass incomplete short right intended for Christian Kirk (defended by Daryl Worley). Penalty on Daryl Worley: Defensive Pass Interference, 9 yards (no play)",3.710,4.580
3,0:13,1,10,BUF 15,23,25,"Kyler Murray left tackle for 15 yards, touchdown",4.580,7.000
3,0:08,,,BUF 15,23,26,Zane Gonzalez kicks extra point good,0.000,0.000
3,0:08,,,ARI 35,23,26,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
3,0:08,1,10,BUF 25,23,26,Josh Allen pass complete short left to John Brown for 7 yards (tackle by Jalen Thompson and Markus Golden),0.610,1.010
Quarter,Time,Down,ToGo,Location,BUF,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,BUF 32,23,26,Zack Moss right tackle for -3 yards (tackle by Angelo Blackson and Isaiah Simmons),1.010,-0.100
4,14:15,3,6,BUF 29,23,26,Josh Allen pass complete short left to Cole Beasley for 7 yards (tackle by Kylie Fitts and Isaiah Simmons),-0.100,1.330
4,13:35,1,10,BUF 36,23,26,Josh Allen pass incomplete deep right intended for John Brown,1.330,0.790
4,13:29,2,10,BUF 36,23,26,Devin Singletary left tackle for -1 yards (tackle by Trevon Coley),0.790,-0.030
4,12:45,3,11,BUF 35,23,26,Josh Allen pass complete short middle to Devin Singletary for -5 yards (tackle by Isaiah Simmons),-0.030,-1.370
4,12:06,4,16,BUF 30,23,26,"Corey Bojorquez punts 61 yards, returned by Christian Kirk for 23 yards (tackle by Reid Ferguson)",-1.370,-1.070
4,11:51,1,10,ARI 32,23,26,Kenyan Drake right tackle for 20 yards (tackle by Dane Jackson),1.070,2.390
4,11:16,1,10,BUF 48,23,26,Kenyan Drake up the middle for 8 yards (tackle by Jordan Poyer),2.390,2.930
4,10:42,2,2,BUF 40,23,26,Kenyan Drake up the middle for 7 yards (tackle by A.J. Klein),2.930,3.380
4,10:06,1,10,BUF 33,23,26,Chase Edmonds up the middle for 3 yards (tackle by Tremaine Edmunds),3.380,3.240
4,9:26,2,7,BUF 30,23,26,"Penalty on DeAndre Hopkins: False Start, 5 yards (no play)",3.240,2.570
4,9:26,2,12,BUF 35,23,26,Kyler Murray pass deep middle intended for Larry Fitzgerald is intercepted by Jordan Poyer at BUF-15 and returned for 14 yards,2.570,-0.870
4,9:17,1,10,BUF 29,23,26,Josh Allen pass complete short left to Dawson Knox for 10 yards (tackle by Jalen Thompson),0.870,1.530
4,8:46,1,10,BUF 39,23,26,"Josh Allen pass incomplete short middle intended for Devin Singletary Penalty on BUF: Illegal Shift, 5 yards (no play)",1.530,1.200
4,8:39,1,15,BUF 34,23,26,"Penalty on Daryl Williams: False Start, 5 yards (no play)",1.200,0.870
4,8:39,1,20,BUF 29,23,26,Josh Allen pass complete short left to Cole Beasley for 12 yards (tackle by Isaiah Simmons),0.870,1.260
4,7:59,2,8,BUF 41,23,26,"Josh Allen pass incomplete short right. Penalty on Devin Singletary: Unnecessary Roughness, 15 yards",1.260,-1.420
4,7:53,3,23,BUF 26,23,26,"Josh Allen pass complete deep right to John Brown for 24 yards (tackle by Patrick Peterson). Penalty on Brian Winters: Offensive Holding, 10 yards (no play)",-1.420,-3.420
4,7:30,3,33,BUF 16,23,26,Josh Allen pass complete short left to Stefon Diggs for 21 yards (tackle by Jordan Hicks),-3.420,-0.910
4,6:55,4,12,BUF 37,23,26,"Corey Bojorquez punts 53 yards, returned by Christian Kirk for -8 yards (tackle by Siran Neal)",-0.910,0.380
4,6:40,1,10,ARI 2,23,26,Kenyan Drake up the middle for 5 yards (tackle by Micah Hyde),-0.380,-0.420
4,6:04,2,5,ARI 7,23,26,Chase Edmonds up the middle for 4 yards (tackle by Tremaine Edmunds),-0.420,-0.370
4,5:29,3,1,ARI 11,23,26,Kyler Murray left end for -6 yards (tackle by Micah Hyde),-0.370,-2.490
4,4:47,4,7,ARI 5,23,26,"Andy Lee punts 47 yards, returned by Andre Roberts for 10 yards (tackle by D.J. Foster). Penalty on Siran Neal: Offensive Holding, 10 yards",-2.490,-2.130
4,4:38,1,10,BUF 48,23,26,Josh Allen pass short left intended for Gabriel Davis is intercepted by Dre Kirkpatrick at ARI-41 and returned for no gain,2.130,-1.660
4,4:31,1,10,ARI 41,23,26,Kyler Murray pass incomplete short left intended for DeAndre Hopkins,1.660,1.120
4,4:26,2,10,ARI 41,23,26,Kyler Murray pass incomplete short left intended for DeAndre Hopkins (defended by Ed Oliver),1.120,0.430
4,4:23,3,10,ARI 41,23,26,Kyler Murray sacked by Taron Johnson for -6 yards,0.430,-1.040
4,3:43,4,16,ARI 35,23,26,"Andy Lee punts 43 yards, returned by Andre Roberts for no gain (tackle by Charles Washington)",-1.040,-0.410
4,3:35,1,10,BUF 22,23,26,Josh Allen pass complete short left to Stefon Diggs for 6 yards (tackle by Byron Murphy),0.410,0.680
4,3:05,2,4,BUF 28,23,26,Josh Allen pass incomplete short left intended for Gabriel Davis,0.680,-0.030
4,2:57,3,4,BUF 28,23,26,Josh Allen pass complete short left to Cole Beasley for 4 yards (tackle by Byron Murphy),-0.030,1.070
4,2:53,1,10,BUF 32,23,26,Josh Allen pass incomplete short left intended for Zack Moss,1.070,0.530
4,2:45,2,10,BUF 32,23,26,Josh Allen up the middle for 12 yards (tackle by Johnathan Joseph),0.530,1.860
4,2:16,1,10,BUF 44,23,26,Josh Allen pass complete short left to Stefon Diggs for 5 yards (tackle by Jalen Thompson),1.860,1.990
4,2:00,2,5,BUF 49,23,26,Josh Allen pass incomplete short middle intended for Gabriel Davis (defended by Budda Baker),1.990,1.290
4,1:57,3,5,BUF 49,23,26,Josh Allen pass complete short right to Cole Beasley for 7 yards (tackle by Byron Murphy),1.290,2.650
4,1:52,1,10,ARI 44,23,26,Josh Allen pass complete short left to Zack Moss for -3 yards (tackle by Trevon Coley),2.650,1.710
4,1:22,2,13,ARI 47,23,26,Josh Allen pass complete deep middle to Cole Beasley for 17 yards (tackle by Byron Murphy),1.710,3.580
4,0:49,1,10,ARI 30,23,26,"Josh Allen pass complete short left to Stefon Diggs for 1 yard (tackle by Johnathan Joseph). Penalty on Trevon Coley: Defensive Offside, 5 yards (no play)",3.580,4.310
4,0:43,1,5,ARI 25,23,26,Josh Allen pass complete short right to Cole Beasley for 4 yards (tackle by Jordan Hicks),4.310,4.250
4,0:39,,,,,,Timeout #1 by Buffalo Bills,,
4,0:39,2,1,ARI 21,29,26,"Josh Allen pass complete deep left to Stefon Diggs for 21 yards, touchdown",4.250,7.000
4,0:34,,,ARI 15,30,26,Tyler Bass kicks extra point good,0.000,0.000
4,0:34,,,BUF 35,30,26,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
4,0:34,1,10,ARI 25,30,26,Kyler Murray pass complete short middle to Andy Isabella for 14 yards (tackle by Taron Johnson),0.610,1.530
4,0:27,,,,,,Timeout #2 by Arizona Cardinals,,
4,0:27,1,10,ARI 39,30,26,Kyler Murray pass complete short middle to DeAndre Hopkins for 9 yards (tackle by Tremaine Edmunds),1.530,2.200
4,0:21,,,,,,Timeout #3 by Arizona Cardinals,,
4,0:21,2,1,ARI 48,30,26,Kyler Murray pass complete short right to Larry Fitzgerald for 9 yards (tackle by Taron Johnson),2.200,2.720
4,0:11,,,,,,Timeout #2 by Buffalo Bills,,
4,0:11,1,10,BUF 43,30,32,"Kyler Murray pass complete deep left to DeAndre Hopkins for 43 yards, touchdown",2.720,7.000
4,0:02,,,BUF 2,30,32,"Two Point Attempt: Kyler Murray rushes, conversion fails.",1.000,-1.000
4,0:02,,,ARI 35,30,32,"Zane Gonzalez kicks off 41 yards, returned by Micah Hyde for 3 yards. Micah Hyde fumbles out of bounds",0.000,1.270
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
