Unnamed: 0,HOU,BAL
First Downs,16,15
Rush-Yds-TDs,34-165-0,23-73-1
Cmp-Att-Yd-TD-INT,17-37-165-0-1,17-33-198-0-0
Sacked-Yards,5-32,4-33
Net Pass Yards,133,165
Total Yards,298,238
Fumbles-Lost,5-1,4-2
Turnovers,2,2
Penalties-Yards,11-93,8-71
Third Down Conv.,8-20,4-13
Fourth Down Conv.,0-0,1-1
Time of Possession,33:49,26:11
