Unnamed: 0,DEN,KAN
First Downs,18,19
Rush-Yds-TDs,29-141-1,22-67-0
Cmp-Att-Yd-TD-INT,17-31-192-1-1,23-45-245-0-3
Sacked-Yards,1-6,4-28
Net Pass Yards,186,217
Total Yards,327,284
Fumbles-Lost,2-0,2-1
Turnovers,1,4
Penalties-Yards,12-64,4-20
Third Down Conv.,5-13,6-16
Fourth Down Conv.,0-1,1-2
Time of Possession,29:29,30:31
