Quarter,Time,Tm,Detail,ATL,CAR
1.0,6:59,Panthers,John Kasay 54 yard field goal,0,3
,1:21,Falcons,Michael Koenen 25 yard field goal,3,3
2.0,9:14,Falcons,Michael Koenen 32 yard field goal,6,3
,0:28,Falcons,Michael Jenkins 34 yard pass from Michael Vick (Michael Koenen kick),13,3
3.0,8:04,Panthers,John Kasay 46 yard field goal,13,6
,0:35,Falcons,Alge Crumpler 1 yard pass from Michael Vick (Michael Koenen kick),20,6
