Unnamed: 0,ATL,CAR
First Downs,24,15
Rush-Yds-TDs,47-252-0,16-65-0
Cmp-Att-Yd-TD-INT,10-22-140-2-0,21-39-186-0-1
Sacked-Yards,1-7,4-36
Net Pass Yards,133,150
Total Yards,385,215
Fumbles-Lost,1-0,3-1
Turnovers,0,2
Penalties-Yards,2-20,8-45
Third Down Conv.,4-13,2-12
Fourth Down Conv.,0-1,0-2
Time of Possession,36:28,23:32
